image	max_pumps	pump_loop.thisRepN	pump_loop.thisTrialN	pump_loop.thisN	pump_loop.thisIndex	thisRow.t	notes	Start.started	text_start.started	continue_start.started	mouse_start.started	Start.stopped	mouse_start.x	mouse_start.y	mouse_start.leftButton	mouse_start.midButton	mouse_start.rightButton	mouse_start.time	trials.started	stim_balloon.started	stim_balloon_burst.started	stim_balloon_burst.stopped	text_ballon_value.started	text_bank.started	mouse.started	sound_bang.started	sound_bang.stopped	button_balloon.started	trials.stopped	n_pumps	earnings	popped	mouse.x	mouse.y	mouse.leftButton	mouse.midButton	mouse.rightButton	mouse.time	button_balloon.numClicks	button_balloon.timesOn	button_balloon.timesOff	Feedback.started	text_feedback.started	Feedback.stopped	text_feedback.stopped	End.started	text_end.started	key_end.started	End.stopped	key_end.keys	key_end.rt	key_end.duration	participant	session	date	expName	psychopyVersion	frameRate	expStart	
								0.001218300000346062	0.0074891000003844965	0.0074891000003844965	0.0015179000001808163	51.47878120000041	[0.6981481481481482]	[-0.39537037037037037]	[1]	[0]	[0]	[51.47645509999984]																																			30	02	2024-02-21_09h19.18.952	BART_exp	2023.2.3	122.11801484930795	2024-02-21 09h19.29.936713 +0100	
balloon.png	105	0	0	0	24	51.54415640000025													51.486450100000184	51.54415640000025	51.54415640000025	51.54415640000025	51.54415640000025	51.54415640000025	0.009465199999795004	0.009465199999795004	0.009465199999795004	51.54415640000025	56.588494600000104	5	0.25	False	"[0.012037037037037037, 0.012037037037037037, 0.012037037037037037, 0.012037037037037037, 0.012037037037037037, 0.012037037037037037]"	"[-0.39166666666666666, -0.39166666666666666, -0.39166666666666666, -0.39166666666666666, -0.39166666666666666, -0.39166666666666666]"	"[1, 1, 1, 1, 1, 0]"	"[0, 0, 0, 0, 0, 0]"	"[0, 0, 0, 0, 0, 1]"	"[1.992059799999879, 3.0339429000000564, 3.551992700000028, 3.8757368999999926, 4.36733490000006, 5.1009524999999485]"	6	"[1.9404586000000563, 2.9823394000000008, 3.5003952000001846, 3.8241501000002245, 4.315729400000237, 5.0493060000003425]"	"[2.098776000000271, 3.123703900000237, 3.657129200000327, 3.9655611000002864, 4.490563300000304, 5.049310600000354]"	56.58966420000024	56.599489800000356	58.095050000000356									30	02	2024-02-21_09h19.18.952	BART_exp	2023.2.3	122.11801484930795	2024-02-21 09h19.29.936713 +0100	
balloon.png	14	0	1	1	3	58.103600500000084													58.09526440000036	58.103600500000084	58.103600500000084	58.103600500000084	58.103600500000084	58.103600500000084	0.006988999999975931	0.006988999999975931	0.006988999999975931	58.103600500000084	59.68869730000006	5	0.25	False	"[0.012037037037037037, 0.012037037037037037, 0.012037037037037037, 0.012037037037037037, 0.012037037037037037, 0.012037037037037037]"	"[-0.39166666666666666, -0.39166666666666666, -0.39166666666666666, -0.39166666666666666, -0.39166666666666666, -0.39166666666666666]"	"[1, 1, 1, 1, 1, 0]"	"[0, 0, 0, 0, 0, 0]"	"[0, 0, 0, 0, 0, 1]"	"[0.40027469999995446, 0.6258983000002445, 0.8426709000000301, 1.0761136000000988, 1.2838980000001357, 1.5922641000001931]"	6	"[0.39716390000012325, 0.622811300000194, 0.8395880000002762, 1.0730607000000418, 1.2807842000001983, 1.5891002000003027]"	"[0.5224928000002365, 0.7637659000001804, 0.9804231000002801, 1.2061088000000382, 1.413819599999897, 1.5891049000001658]"	59.689417100000355	59.694944000000305	61.18924270000025	61.20330110000032								30	02	2024-02-21_09h19.18.952	BART_exp	2023.2.3	122.11801484930795	2024-02-21 09h19.29.936713 +0100	
balloon.png	23	0	2	2	5	61.20330110000032													61.189803700000084	61.20330110000032	61.20330110000032	61.20330110000032	61.20330110000032	61.20330110000032	0.001963799999884941	0.001963799999884941	0.001963799999884941	61.20330110000032	62.93869490000043	7	0.35	False	"[0.012037037037037037, 0.012037037037037037, 0.011111111111111112, 0.011111111111111112, 0.011111111111111112, 0.011111111111111112, 0.011111111111111112, 0.011111111111111112]"	"[-0.39166666666666666, -0.39166666666666666, -0.39166666666666666, -0.39166666666666666, -0.39166666666666666, -0.39166666666666666, -0.39166666666666666, -0.39166666666666666]"	"[1, 1, 1, 1, 1, 1, 1, 0]"	"[0, 0, 0, 0, 0, 0, 0, 0]"	"[0, 0, 0, 0, 0, 0, 0, 1]"	"[0.3310663000002023, 0.5394067000001996, 0.7392347999998492, 0.9392747000001691, 1.1410783999999694, 1.3310581000000639, 1.4976305000000139, 1.7477340000000368]"	8	"[0.3227705999997852, 0.5310983999997916, 0.7309174999995776, 0.9309537999997701, 1.13277029999972, 1.3227468999998564, 1.4893116999996892, 1.7393521999997574]"	"[0.4224147999998422, 0.6641492999997354, 0.8724060999998073, 1.0475289999999404, 1.2475234999997156, 1.4475321999998414, 1.6475951999996141, 1.7393562999995993]"	62.93949810000004	62.94512410000016	64.43740740000021	64.45344950000026								30	02	2024-02-21_09h19.18.952	BART_exp	2023.2.3	122.11801484930795	2024-02-21 09h19.29.936713 +0100	
balloon.png	127	0	3	3	29	64.45344950000026													64.43762250000009	64.45344950000026	64.45344950000026	64.45344950000026	64.45344950000026	64.45344950000026	-0.000426400000378635	-0.000426400000378635	-0.000426400000378635	64.45344950000026	65.73903070000006	4	0.20	False	"[0.011111111111111112, 0.011111111111111112, 0.011111111111111112, 0.011111111111111112, 0.011111111111111112]"	"[-0.39166666666666666, -0.39166666666666666, -0.39166666666666666, -0.39166666666666666, -0.39166666666666666]"	"[1, 1, 1, 1, 0]"	"[0, 0, 0, 0, 0]"	"[0, 0, 0, 0, 1]"	"[0.29192890000012994, 0.55026480000015, 0.7669049000000996, 0.9502769000000626, 1.3003028000002814]"	5	"[0.2818904000000657, 0.5402093000002424, 0.7568446000000222, 0.9402079999999842, 1.2901778000000377]"	"[0.4565866000002643, 0.6482644000002438, 0.8483098000001519, 1.0399185999999645, 1.2901823000001968]"	65.73977410000043	65.74529640000037	67.23762780000015	67.25341270000035								30	02	2024-02-21_09h19.18.952	BART_exp	2023.2.3	122.11801484930795	2024-02-21 09h19.29.936713 +0100	
balloon.png	36	0	4	4	8	67.25341270000035													67.23784140000043	67.25341270000035	67.25341270000035	67.25341270000035	67.25341270000035	67.25341270000035	-0.0004621999996743398	-0.0004621999996743398	-0.0004621999996743398	67.25341270000035	68.48108980000006	4	0.20	False	"[0.011111111111111112, 0.011111111111111112, 0.011111111111111112, 0.011111111111111112, 0.011111111111111112]"	"[-0.39166666666666666, -0.39166666666666666, -0.39166666666666666, -0.39166666666666666, -0.39166666666666666]"	"[1, 1, 1, 1, 0]"	"[0, 0, 0, 0, 0]"	"[0, 0, 0, 0, 1]"	"[0.3335124000000178, 0.5589071999997941, 0.7756159999998999, 0.9590446000001975, 1.242058100000122]"	5	"[0.323089600000003, 0.5484802000000855, 0.7651951000002555, 0.9486431000000266, 1.2315782000000581]"	"[0.4394154999999955, 0.6561782000003404, 0.8561403000003338, 1.0817853000003197, 1.231583000000228]"	68.48177150000038	68.48718560000043	69.98173570000017	69.9933817000001								30	02	2024-02-21_09h19.18.952	BART_exp	2023.2.3	122.11801484930795	2024-02-21 09h19.29.936713 +0100	
balloon.png	62	0	5	5	14	69.9933817000001													69.98201170000038	69.9933817000001	69.9933817000001	69.9933817000001	69.9933817000001	69.9933817000001	0.001875700000255165	0.001875700000255165	0.001875700000255165	69.9933817000001	71.32269470000028	5	0.25	False	"[0.011111111111111112, 0.011111111111111112, 0.011111111111111112, 0.011111111111111112, 0.011111111111111112, 0.011111111111111112]"	"[-0.39166666666666666, -0.39166666666666666, -0.39166666666666666, -0.39166666666666666, -0.39166666666666666, -0.39166666666666666]"	"[1, 1, 1, 1, 1, 0]"	"[0, 0, 0, 0, 0, 0]"	"[0, 0, 0, 0, 0, 1]"	"[0.35616669999990336, 0.5560955999999351, 0.7560966000000917, 0.9476331999999275, 1.1307940000001508, 1.3393945000002532]"	6	"[0.350115299999743, 0.5500546999996914, 0.7500354999997398, 0.9415697999997974, 1.1165710000000217, 1.3332728000000316]"	"[0.48302639999974417, 0.6745671999997285, 0.8497161999998752, 1.0330257999999048, 1.2246577999999317, 1.333277199999884]"	71.32341870000027	71.32901000000038	72.82126690000041	72.83293460000004								30	02	2024-02-21_09h19.18.952	BART_exp	2023.2.3	122.11801484930795	2024-02-21 09h19.29.936713 +0100	
balloon.png	110	0	6	6	25	72.83293460000004													72.82148030000008	72.83293460000004	72.83293460000004	72.83293460000004	72.83293460000004	72.83293460000004	-0.0004205000000183645	-0.0004205000000183645	-0.0004205000000183645	72.83293460000004	74.94810720000032	7	0.35	False	"[0.011111111111111112, 0.011111111111111112, 0.011111111111111112, 0.011111111111111112, 0.011111111111111112, 0.011111111111111112, 0.011111111111111112, 0.011111111111111112]"	"[-0.39166666666666666, -0.39166666666666666, -0.39166666666666666, -0.39166666666666666, -0.39166666666666666, -0.39166666666666666, -0.39166666666666666, -0.39166666666666666]"	"[1, 1, 1, 1, 1, 1, 1, 0]"	"[0, 0, 0, 0, 0, 0, 0, 0]"	"[0, 0, 0, 0, 0, 0, 0, 1]"	"[0.32530780000024606, 0.5336497000002964, 0.7504259000002094, 0.9420451000000867, 1.1753317000002426, 1.375328300000092, 1.6084826999999677, 2.1254781000002367]"	8	"[0.3188682999998491, 0.5272157999997944, 0.7439981000002263, 0.9356155000000399, 1.1688970999998674, 1.368885599999885, 1.60204049999993, 2.1189884999998867]"	"[0.4117503000002216, 0.6269725000001927, 0.8517691000001832, 1.0602798999998413, 1.2687224999999671, 1.4852959999998347, 1.7186550999999781, 2.118993000000046]"	74.94892000000027	74.9542964000002	76.44658040000013	76.46312290000014								30	02	2024-02-21_09h19.18.952	BART_exp	2023.2.3	122.11801484930795	2024-02-21 09h19.29.936713 +0100	
balloon.png	27	0	7	7	6	76.46312290000014													76.4468036000003	76.46312290000014	76.46312290000014	76.46312290000014	76.46312290000014	76.46312290000014	-0.0006389000000126543	-0.0006389000000126543	-0.0006389000000126543	76.46312290000014	79.85637480000014	11	0.55	False	"[0.011111111111111112, 0.011111111111111112, 0.011111111111111112, 0.011111111111111112, 0.011111111111111112, 0.011111111111111112, 0.011111111111111112, 0.011111111111111112, 0.011111111111111112, 0.011111111111111112, 0.011111111111111112, 0.011111111111111112]"	"[-0.39166666666666666, -0.39166666666666666, -0.39166666666666666, -0.39166666666666666, -0.39166666666666666, -0.39166666666666666, -0.39166666666666666, -0.39166666666666666, -0.39166666666666666, -0.39166666666666666, -0.39166666666666666, -0.39166666666666666]"	"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0]"	"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"	"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"	"[0.283603100000164, 0.5001840999998421, 0.7093988000001445, 0.9254953999998179, 1.158789600000091, 1.3834258000001682, 1.5834156000000803, 1.7918449999997392, 2.00842079999984, 2.266943799999808, 2.8168556000000535, 3.4084610999998404]"	12	"[0.27247269999998025, 0.4890479000000596, 0.6984920999998394, 0.9143825000001016, 1.1476803000000473, 1.3722861000001103, 1.572280800000044, 1.780733500000224, 1.99732559999984, 2.2558060000001205, 2.805733600000167, 3.39728150000019]"	"[0.4054197000000386, 0.6221028999998452, 0.8221161999999822, 1.0221814999999879, 1.2554780000000392, 1.4805937000000995, 1.6810553999998774, 1.8972152999999707, 2.105513500000143, 2.363988000000063, 2.9556092000002536, 3.397286200000053]"	79.85761960000036	79.86291170000004	81.35691510000015	81.37290660000008								30	02	2024-02-21_09h19.18.952	BART_exp	2023.2.3	122.11801484930795	2024-02-21 09h19.29.936713 +0100	
balloon.png	101	0	8	8	23	81.37290660000008													81.35717150000028	81.37290660000008	81.37290660000008	81.37290660000008	81.37290660000008	81.37290660000008	0.0014326999998957035	0.0014326999998957035	0.0014326999998957035	81.37290660000008	84.6153218000004	9	0.45	False	"[0.011111111111111112, 0.011111111111111112, 0.011111111111111112, 0.011111111111111112, 0.011111111111111112, 0.011111111111111112, 0.011111111111111112, 0.011111111111111112, 0.011111111111111112, 0.011111111111111112]"	"[-0.39166666666666666, -0.39166666666666666, -0.39166666666666666, -0.39166666666666666, -0.39166666666666666, -0.39166666666666666, -0.39166666666666666, -0.39166666666666666, -0.39166666666666666, -0.39166666666666666]"	"[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]"	"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"	"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"	"[0.324615200000153, 0.7900327000002108, 1.0399069000000054, 1.2649263000002975, 1.5568191000002116, 1.8151004999999714, 2.0815857000002325, 2.3652007999999114, 2.64829570000029, 3.2568888000000698]"	10	"[0.31421610000006694, 0.7796518999998625, 1.0295117000000573, 1.2545266000001902, 1.5464450999998007, 1.8047163000001092, 2.071181599999818, 2.3548123999999007, 2.63789480000014, 3.246429100000114]"	"[0.6960051000000931, 0.9126799999999093, 1.1293408999999883, 1.3543665000001965, 1.6627988000000187, 1.921054500000082, 2.179534700000204, 2.487833900000169, 2.7878043999999136, 3.246433799999977]"	84.61623280000003	84.62172510000028	86.11424920000036	86.12346500000012								30	02	2024-02-21_09h19.18.952	BART_exp	2023.2.3	122.11801484930795	2024-02-21 09h19.29.936713 +0100	
