"image"	"max_pumps"	"pump_loop.thisRepN"	"pump_loop.thisTrialN"	"pump_loop.thisN"	"pump_loop.thisIndex"	"thisRow.t"	"notes"	"Start.started"	"text_start.started"	"continue_start.started"	"mouse_start.started"	"Start.stopped"	"mouse_start.x"	"mouse_start.y"	"mouse_start.leftButton"	"mouse_start.midButton"	"mouse_start.rightButton"	"mouse_start.time"	"trials.started"	"stim_balloon.started"	"stim_balloon_burst.started"	"stim_balloon_burst.stopped"	"text_ballon_value.started"	"text_bank.started"	"mouse.started"	"sound_bang.started"	"sound_bang.stopped"	"button_balloon.started"	"trials.stopped"	"n_pumps"	"earnings"	"popped"	"mouse.x"	"mouse.y"	"mouse.leftButton"	"mouse.midButton"	"mouse.rightButton"	"mouse.time"	"button_balloon.numClicks"	"button_balloon.timesOn"	"button_balloon.timesOff"	"Feedback.started"	"text_feedback.started"	"Feedback.stopped"	"text_feedback.stopped"	"End.started"	"text_end.started"	"key_end.started"	"End.stopped"	"key_end.keys"	"key_end.rt"	"key_end.duration"	"participant"	"session"	"date"	"expName"	"psychopyVersion"	"frameRate"	"expStart"	"...61"
NA	NA	NA	NA	NA	NA	NA	NA	0.0469472000113456	0.0585680000076536	0.0585680000076536	0.0472757999959867	178.121428900005	"[0.6694444444444444]"	"[-0.40185185185185185]"	"[1]"	"[0]"	"[0]"	"[178.0735136000003]"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	14	"02"	"2024-02-07_15h21.42.956"	"BART_exp"	"2023.2.3"	119.93197460356	"2024-02-07 15h22.01.255697 +0100"	NA
"balloon.png"	123	0	0	0	28	178.18740580001	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	178.129044000001	178.18740580001	178.18740580001	178.18740580001	178.18740580001	178.18740580001	0.00938659999519586	0.00938659999519586	0.00938659999519586	178.18740580001	195.882169600009	20	1	FALSE	"[-0.1175925925925926, -0.1175925925925926, -0.1175925925925926, -0.1175925925925926, -0.1175925925925926, -0.1175925925925926, -0.1175925925925926, -0.1175925925925926, -0.1175925925925926, -0.1175925925925926, -0.1175925925925926, -0.1175925925925926, -0.1175925925925926, -0.1175925925925926, -0.1175925925925926, -0.1175925925925926, -0.1175925925925926, -0.1175925925925926, -0.1175925925925926, -0.1175925925925926, -0.05185185185185185]"	"[-0.38333333333333336, -0.38333333333333336, -0.38333333333333336, -0.38333333333333336, -0.38333333333333336, -0.38333333333333336, -0.38333333333333336, -0.38333333333333336, -0.38333333333333336, -0.38333333333333336, -0.38333333333333336, -0.38333333333333336, -0.38333333333333336, -0.38333333333333336, -0.38333333333333336, -0.38333333333333336, -0.38333333333333336, -0.38333333333333336, -0.38333333333333336, -0.38333333333333336, -0.2537037037037037]"	"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0]"	"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"	"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"	"[2.150941600004444, 3.2592327000020305, 3.917571300000418, 5.317678399995202, 5.809551300000749, 6.30107250000583, 6.792973000003258, 7.976372499993886, 9.101272900006734, 9.768207500004792, 10.643055799999274, 11.159957199997734, 12.059816199995112, 12.993422100000316, 14.118301499998779, 14.943469699996058, 15.6184690999944, 16.193593400006648, 16.57718350000505, 17.060149199998705, 17.752162300006603]"	20	"[2.1043811999988975, 3.2126771999901393, 3.8710073999973247, 5.27112119999947, 5.762994799995795, 6.254513099993346, 6.7464176999928895, 7.929813700000523, 9.054719699997804, 9.721652099993662, 10.59649769999669, 11.11340139999811, 12.013259100000141, 12.946863799996208, 14.071742899992387, 14.896911899995757, 15.571908699988853, 16.147032699998817, 16.53064749999612, 17.013590100003057]"	"[2.2374166999943554, 3.3542160999932094, 3.9792092999996385, 5.395973199993023, 5.887790900000255, 6.379370199996629, 6.829426099997363, 8.07118869999249, 9.221436799998628, 9.896275199993397, 10.713030500002787, 11.22139839999727, 12.129770400002599, 13.09651259999373, 14.254977499993402, 15.021628599992255, 15.705122100000153, 16.280058699994697, 16.663660399994114, 17.096777300001122]"	195.883800399999	195.896883000009	197.388787500007	NA	NA	NA	NA	NA	NA	NA	NA	14	"02"	"2024-02-07_15h21.42.956"	"BART_exp"	"2023.2.3"	119.93197460356	"2024-02-07 15h22.01.255697 +0100"	NA
"balloon.png"	97	0	1	1	22	197.405388700005	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	197.38897890001	197.405388700005	197.405388700005	197.405388700005	197.405388700005	197.405388700005	0.00644060000195168	0.00644060000195168	0.00644060000195168	197.405388700005	210.316333100011	22	1.1	FALSE	"[-0.06111111111111111, -0.06111111111111111, -0.06111111111111111, -0.06111111111111111, -0.06111111111111111, -0.06111111111111111, -0.06111111111111111, -0.06111111111111111, -0.06111111111111111, -0.06111111111111111, -0.06111111111111111, -0.06111111111111111, -0.06111111111111111, -0.06111111111111111, -0.06111111111111111, -0.06111111111111111, -0.06111111111111111, -0.06111111111111111, -0.06111111111111111, -0.06111111111111111, -0.06111111111111111, -0.06111111111111111, 0.018518518518518517]"	"[-0.37962962962962965, -0.37962962962962965, -0.37962962962962965, -0.37962962962962965, -0.37962962962962965, -0.37962962962962965, -0.37962962962962965, -0.37962962962962965, -0.37962962962962965, -0.37962962962962965, -0.37962962962962965, -0.37962962962962965, -0.37962962962962965, -0.37962962962962965, -0.37962962962962965, -0.37962962962962965, -0.37962962962962965, -0.37962962962962965, -0.37962962962962965, -0.37962962962962965, -0.37962962962962965, -0.37962962962962965, -0.16018518518518518]"	"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0]"	"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"	"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"	"[0.8589496000058716, 1.233876300000702, 1.659119500007364, 2.1173672000004444, 2.559054900004412, 3.1424130000086734, 3.5923417000012705, 3.942532300003222, 4.4591656000120565, 5.042526000004727, 5.609129500007839, 6.19249060000584, 6.80090050000581, 7.517733800006681, 8.017637900004047, 8.492793700002949, 8.992662000004202, 9.767727300000843, 10.034518500004197, 11.151335200003814, 11.55119700000796, 11.959545100005926, 12.926439500006381]"	22	"[0.8525047000002814, 1.2274344000034034, 1.6526661999960197, 2.1109080000023823, 2.5525984999985667, 3.1359537999960594, 3.585883899999317, 3.936080100000254, 4.452713599996059, 5.036071199996513, 5.602673500005039, 6.186032700003125, 6.794441100006225, 7.51127770000312, 8.011180000001332, 8.48633770000015, 8.986197299993364, 9.761265699999058, 10.028058199997758, 11.1448803999956, 11.544741899997462, 11.953085500004818]"	"[0.9771910999988904, 1.3439051000023028, 1.7700667000026442, 2.235675599993556, 2.6939722999959486, 3.2856793999962974, 3.7274120999936713, 4.069072900005267, 4.585758300003363, 5.202593499998329, 5.744157900000573, 6.319224100006977, 6.91090930000064, 7.677662200003397, 8.18606870000076, 8.636064899998019, 9.144387199994526, 9.827801599996747, 10.161130499996943, 11.219659800000954, 11.611237899996922, 12.036327900001197]"	210.317359500012	210.322960300007	211.814938100011	211.839709300009	NA	NA	NA	NA	NA	NA	NA	14	"02"	"2024-02-07_15h21.42.956"	"BART_exp"	"2023.2.3"	119.93197460356	"2024-02-07 15h22.01.255697 +0100"	NA
"balloon.png"	44	0	2	2	10	211.839709300009	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	211.815114900004	211.839709300009	211.839709300009	211.839709300009	211.839709300009	211.839709300009	-0.00097090000053867	-0.00097090000053867	-0.00097090000053867	211.839709300009	224.9755	22	1.1	FALSE	"[-0.03611111111111111, -0.03611111111111111, -0.03611111111111111, -0.03611111111111111, -0.03611111111111111, -0.03611111111111111, -0.03611111111111111, -0.03611111111111111, -0.03611111111111111, -0.03611111111111111, -0.03611111111111111, -0.03611111111111111, -0.03611111111111111, -0.03611111111111111, -0.03611111111111111, -0.03611111111111111, -0.03611111111111111, -0.03611111111111111, -0.03611111111111111, -0.03611111111111111, -0.03611111111111111, -0.03611111111111111, 0.0]"	"[-0.3574074074074074, -0.3574074074074074, -0.3574074074074074, -0.3574074074074074, -0.3574074074074074, -0.3574074074074074, -0.3574074074074074, -0.3574074074074074, -0.3574074074074074, -0.3574074074074074, -0.3574074074074074, -0.3574074074074074, -0.3574074074074074, -0.3574074074074074, -0.3574074074074074, -0.3574074074074074, -0.3574074074074074, -0.3574074074074074, -0.3574074074074074, -0.3574074074074074, -0.3574074074074074, -0.3574074074074074, -0.2916666666666667]"	"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0]"	"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"	"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"	"[0.6338448000024073, 1.3088679000065895, 1.9920563000050606, 2.4004184999939753, 3.1171686000016052, 3.84235200000694, 4.392210599995451, 4.750574799996684, 5.400826400000369, 5.9507270000030985, 6.342349900005502, 7.134080999996513, 8.125812099999166, 8.701010000004317, 9.184312500001397, 9.617717500004801, 10.167633000004571, 10.676313699994353, 11.159387100007734, 11.660755499993684, 12.184436099996674, 12.643064100004267, 13.15948980000394]"	22	"[0.6229467999946792, 1.2979688999912469, 1.9811575999920024, 2.389515199989546, 3.1062754999875324, 3.8314476999948965, 4.381307499992545, 4.739673099989886, 5.389924099989003, 5.939831099996809, 6.331448199998704, 7.123178999987431, 8.114909399999306, 8.69010469999921, 9.173408199989353, 9.606821800000034, 10.156728699992527, 10.665414799994323, 11.14847970000119, 11.64985329999763, 12.173531199994613, 12.632167099989601]"	"[0.705966499997885, 1.3976202999911038, 2.139386299997568, 2.564371599990409, 3.2811412000010023, 3.981211699996493, 4.532560599996941, 4.889538499992341, 5.547920099998009, 6.0396130999870365, 6.481357199998456, 7.314717399989604, 8.281450399997993, 8.848136899992824, 9.314836199991987, 9.77320709999185, 10.314922899997327, 10.823262699996121, 11.290055699995719, 11.76508689999173, 12.26511649999884, 12.773439899989171]"	224.976491300011	224.982281400007	226.47426290001	226.499049000005	NA	NA	NA	NA	NA	NA	NA	14	"02"	"2024-02-07_15h21.42.956"	"BART_exp"	"2023.2.3"	119.93197460356	"2024-02-07 15h22.01.255697 +0100"	NA
"balloon.png"	75	0	3	3	17	226.499049000005	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	226.474441400002	226.499049000005	226.499049000005	226.499049000005	226.499049000005	226.499049000005	-0.00077280000550672	-0.00077280000550672	-0.00077280000550672	226.499049000005	239.060018900011	17	0.85	FALSE	"[-0.025, -0.025, -0.025, -0.025, -0.025, -0.025, -0.025, -0.025, -0.025, -0.025, -0.025, -0.025, -0.025, -0.025, -0.025, -0.025, -0.025, -0.017592592592592594]"	"[-0.36944444444444446, -0.36944444444444446, -0.36944444444444446, -0.36944444444444446, -0.36944444444444446, -0.36944444444444446, -0.36944444444444446, -0.36944444444444446, -0.36944444444444446, -0.36944444444444446, -0.36944444444444446, -0.36944444444444446, -0.36944444444444446, -0.36944444444444446, -0.36944444444444446, -0.36944444444444446, -0.36944444444444446, -0.31574074074074077]"	"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0]"	"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"	"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"	"[0.5671388000046136, 1.0753486000030534, 1.4838133000012022, 1.908734299999196, 2.4850790000054985, 3.383951600000728, 3.992329900007462, 4.667272700011381, 7.475771500001429, 8.142611000002944, 8.901070100007928, 9.534395599999698, 10.050942400004715, 10.500951000009081, 10.942811700006132, 11.351166899999953, 11.892973399997572, 12.584625800009235]"	17	"[0.5562633000081405, 1.0644649000023492, 1.472933600001852, 1.8978531000029761, 2.474357900005998, 3.3730701000022236, 3.9814525000110734, 4.656386600006954, 7.464892800009693, 8.131724600010784, 8.890201500005787, 9.52351600000111, 10.04006310000841, 10.490071600012016, 10.93193250001059, 11.340288300008979, 11.882086600002367]"	"[0.7142770000064047, 1.1892933000053745, 1.6144303000037326, 2.0560125000047265, 2.6893960000015795, 3.556157200000598, 4.1480546000093454, 4.847919100007857, 7.631379600003129, 8.281485200001043, 9.073201200008043, 9.648257600012585, 10.131557400003658, 10.589922700004536, 11.02355530000932, 11.45666130000609, 12.015182900009677]"	239.060990600003	239.06658150001	240.558569000001	240.575017300012	NA	NA	NA	NA	NA	NA	NA	14	"02"	"2024-02-07_15h21.42.956"	"BART_exp"	"2023.2.3"	119.93197460356	"2024-02-07 15h22.01.255697 +0100"	NA
"balloon.png"	40	0	4	4	9	240.575017300012	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	240.558745700007	240.575017300012	240.575017300012	240.575017300012	240.575017300012	240.575017300012	-0.00095599998894613	-0.00095599998894613	-0.00095599998894613	240.575017300012	253.627829900011	24	1.2	FALSE	"[-0.030555555555555555, -0.030555555555555555, -0.030555555555555555, -0.030555555555555555, -0.030555555555555555, -0.030555555555555555, -0.030555555555555555, -0.030555555555555555, -0.030555555555555555, -0.030555555555555555, -0.030555555555555555, -0.030555555555555555, -0.030555555555555555, -0.030555555555555555, -0.030555555555555555, -0.030555555555555555, -0.030555555555555555, -0.030555555555555555, -0.030555555555555555, -0.030555555555555555, -0.030555555555555555, -0.030555555555555555, -0.030555555555555555, -0.030555555555555555, -0.01574074074074074]"	"[-0.37962962962962965, -0.37962962962962965, -0.37962962962962965, -0.37962962962962965, -0.37962962962962965, -0.37962962962962965, -0.37962962962962965, -0.37962962962962965, -0.37962962962962965, -0.37962962962962965, -0.37962962962962965, -0.37962962962962965, -0.37962962962962965, -0.37962962962962965, -0.37962962962962965, -0.37962962962962965, -0.37962962962962965, -0.37962962962962965, -0.37962962962962965, -0.37962962962962965, -0.37962962962962965, -0.37962962962962965, -0.37962962962962965, -0.37962962962962965, -0.3055555555555556]"	"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0]"	"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"	"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"	"[0.5254447000043001, 0.8921585000061896, 1.4755000000004657, 2.1254063000087626, 2.458899000004749, 2.8422729000012623, 3.2672845000051893, 3.80067599999893, 4.167220300005283, 4.408996400001342, 4.642428999999538, 5.092419599997811, 5.567332200007513, 6.084150200011209, 6.584026199998334, 7.042535700005828, 7.484228400004213, 7.967503300009412, 8.68435650000174, 9.16751500000828, 10.009378200003994, 10.667788899998413, 11.37602730000799, 12.567848200007575, 13.068148200007272]"	24	"[0.5182789000100456, 0.884996200009482, 1.4683313999994425, 2.118242000011378, 2.451731599998311, 2.83511179999914, 3.2601233000023058, 3.7935069000086514, 4.160053400002653, 4.40182550001191, 4.635264199998346, 5.085254100005841, 5.560168299998622, 6.0769839999993565, 6.576856400002725, 7.035367800010135, 7.477059299999382, 7.960337399999844, 8.677194400006556, 9.16034750000108, 10.00221240000974, 10.66062540000712, 11.368859300011536, 12.560683300005621]"	"[0.6262972000113223, 0.9929717000050005, 1.6013413000036962, 2.25978639999812, 2.59307919999992, 2.9514933000027668, 3.4014810000080615, 3.909849400006351, 4.276523400010774, 4.518221600010293, 4.7182620000094175, 5.1766081000096165, 5.668339500000002, 6.210022300001583, 6.693402400007471, 7.176751600010903, 7.610125600011088, 8.076951300012297, 8.868508900006418, 9.318563799999538, 10.193693799999892, 10.827025800012052, 11.552053799998248, 12.694003700002213]"	253.629137200012	253.634265400004	255.126380000002	255.142789800011	NA	NA	NA	NA	NA	NA	NA	14	"02"	"2024-02-07_15h21.42.956"	"BART_exp"	"2023.2.3"	119.93197460356	"2024-02-07 15h22.01.255697 +0100"	NA
"balloon.png"	88	0	5	5	20	255.142789800011	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	255.126697200001	255.142789800011	255.142789800011	255.142789800011	255.142789800011	255.142789800011	-6.670001312159e-05	-6.670001312159e-05	-6.670001312159e-05	255.142789800011	268.762012000007	22	1.1	FALSE	"[-0.046296296296296294, -0.046296296296296294, -0.046296296296296294, -0.046296296296296294, -0.046296296296296294, -0.046296296296296294, -0.046296296296296294, -0.046296296296296294, -0.046296296296296294, -0.046296296296296294, -0.046296296296296294, -0.046296296296296294, -0.046296296296296294, -0.046296296296296294, -0.046296296296296294, -0.046296296296296294, -0.046296296296296294, -0.046296296296296294, -0.046296296296296294, -0.046296296296296294, -0.046296296296296294, -0.046296296296296294, -0.001851851851851852]"	"[-0.38981481481481484, -0.38981481481481484, -0.38981481481481484, -0.38981481481481484, -0.38981481481481484, -0.38981481481481484, -0.38981481481481484, -0.38981481481481484, -0.38981481481481484, -0.38981481481481484, -0.38981481481481484, -0.38981481481481484, -0.38981481481481484, -0.38981481481481484, -0.38981481481481484, -0.38981481481481484, -0.38981481481481484, -0.38981481481481484, -0.38981481481481484, -0.38981481481481484, -0.38981481481481484, -0.38981481481481484, -0.30462962962962964]"	"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0]"	"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"	"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"	"[0.624617199995555, 1.4078168999985792, 1.8496825999900466, 2.0413810000027297, 2.2747093999932986, 2.5163758999988204, 3.557958699995652, 4.049835700003314, 5.091565399998217, 5.7747959999978775, 6.283306400000583, 6.866708000001381, 7.408336699998472, 8.10010159999365, 8.841837300002226, 9.425193299990497, 10.183448399999179, 10.683471800002735, 11.200193299999228, 12.033731199990143, 12.500397199997678, 13.133703500003321, 13.63381539999682]"	22	"[0.6164667999983067, 1.399670300001162, 1.8415324999950826, 2.033232100002351, 2.2665574999991804, 2.5082294000021648, 3.5498099999967963, 4.041687899996759, 5.083420900002238, 5.766640399990138, 6.275155299998005, 6.858561999993981, 7.400187699997332, 8.091948999994202, 8.833692799991695, 9.41704519999621, 10.175294699991355, 10.675318900001002, 11.192042099995888, 12.025580799992895, 12.492247499991208, 13.125555099992198]"	"[0.7161329999944428, 1.5163348999922164, 1.8996106999984477, 2.1412429999909364, 2.407927299995208, 2.6662928000005195, 3.6665582999994513, 4.1163796999899205, 5.193098599993391, 5.933140799999819, 6.433191299991449, 6.999921599999652, 7.524959799993667, 8.266646999996738, 9.058367899997393, 9.600065399994492, 10.33351749999565, 10.833488799995393, 11.350239099992905, 12.18359829999099, 12.608661799997208, 13.193445999990217]"	268.763024400003	268.7686177	270.260588400008	270.277060100008	NA	NA	NA	NA	NA	NA	NA	14	"02"	"2024-02-07_15h21.42.956"	"BART_exp"	"2023.2.3"	119.93197460356	"2024-02-07 15h22.01.255697 +0100"	NA
"balloon.png"	1	0	6	6	0	270.277060100008	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	270.260765700004	270.277060100008	270.277060100008	270.277060100008	270.277060100008	270.277060100008	-0.00099479999335017	-0.00099479999335017	-0.00099479999335017	270.277060100008	271.354151700012	2	0.05	TRUE	"[-0.041666666666666664, -0.041666666666666664]"	"[-0.38333333333333336, -0.38333333333333336]"	"[1, 1]"	"[0, 0]"	"[0, 0]"	"[0.6003499000071315, 1.000338500001817]"	2	"[0.5957148999877973, 0.9956990999926347]"	"[0.6621954999864101, 1.0788730999920517]"	271.354860500011	271.36889920001	272.860606600007	NA	NA	NA	NA	NA	NA	NA	NA	14	"02"	"2024-02-07_15h21.42.956"	"BART_exp"	"2023.2.3"	119.93197460356	"2024-02-07 15h22.01.255697 +0100"	NA
"balloon.png"	14	0	7	7	3	272.877256000007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	272.860783200013	272.877256000007	272.877256000007	272.877256000007	272.877256000007	272.877256000007	0.00722590000077616	0.00722590000077616	0.00722590000077616	272.877256000007	278.912835700001	15	0.7	TRUE	"[-0.041666666666666664, -0.041666666666666664, -0.041666666666666664, -0.041666666666666664, -0.041666666666666664, -0.041666666666666664, -0.041666666666666664, -0.041666666666666664, -0.041666666666666664, -0.041666666666666664, -0.041666666666666664, -0.041666666666666664, -0.041666666666666664, -0.041666666666666664, -0.041666666666666664]"	"[-0.38333333333333336, -0.38333333333333336, -0.38333333333333336, -0.38333333333333336, -0.38333333333333336, -0.38333333333333336, -0.38333333333333336, -0.38333333333333336, -0.38333333333333336, -0.38333333333333336, -0.38333333333333336, -0.38333333333333336, -0.38333333333333336, -0.38333333333333336, -0.38333333333333336]"	"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"	"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"	"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"	"[0.483960700003081, 0.9256649000017205, 1.334040300003835, 1.7340709999989485, 2.0338965999981156, 2.259123499999987, 2.4924424000055296, 2.8841618000005838, 3.2424606999993557, 3.709213100009947, 4.142536900006235, 4.500907699999516, 4.959313600003952, 5.3841395000054035, 5.967664900003001]"	15	"[0.47917180000513326, 0.9208769999968354, 1.3292602000001352, 1.7292832999955863, 2.0291105000069365, 2.2543408000055933, 2.487655300006736, 2.8793785000016214, 3.2376712999976007, 3.7044256000081077, 4.137752199996612, 4.496118099996238, 4.95453400000406, 5.379357400001027, 5.96288469999854]"	"[0.5955625000060536, 1.0290355000033742, 1.445639099998516, 1.84566970000742, 2.137315200001467, 2.3706627000065055, 2.604090399996494, 3.0040847000054782, 3.354093300004024, 3.854134699999122, 4.295994100000826, 4.620913999999175, 5.029303900009836, 5.470905399997719, 6.037678699998651]"	278.913865300012	278.919321900001	280.411274099999	280.419454100003	NA	NA	NA	NA	NA	NA	NA	14	"02"	"2024-02-07_15h21.42.956"	"BART_exp"	"2023.2.3"	119.93197460356	"2024-02-07 15h22.01.255697 +0100"	NA
"balloon.png"	127	0	8	8	29	280.419454100003	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	280.411447999999	280.419454100003	280.419454100003	280.419454100003	280.419454100003	280.419454100003	0.00564819999272003	NA	NA	280.419454100003	292.972068200004	30	1.5	FALSE	"[-0.041666666666666664, -0.041666666666666664, -0.041666666666666664, -0.041666666666666664, -0.041666666666666664, -0.041666666666666664, -0.041666666666666664, -0.041666666666666664, -0.041666666666666664, -0.041666666666666664, -0.041666666666666664, -0.041666666666666664, -0.041666666666666664, -0.041666666666666664, -0.041666666666666664, -0.041666666666666664, -0.041666666666666664, -0.041666666666666664, -0.041666666666666664, -0.041666666666666664, -0.041666666666666664, -0.041666666666666664, -0.041666666666666664, -0.041666666666666664, -0.041666666666666664, -0.041666666666666664, -0.041666666666666664, -0.041666666666666664, -0.041666666666666664, -0.041666666666666664, -0.01574074074074074]"	"[-0.38333333333333336, -0.38333333333333336, -0.38333333333333336, -0.38333333333333336, -0.38333333333333336, -0.38333333333333336, -0.38333333333333336, -0.38333333333333336, -0.38333333333333336, -0.38333333333333336, -0.38333333333333336, -0.38333333333333336, -0.38333333333333336, -0.38333333333333336, -0.38333333333333336, -0.38333333333333336, -0.38333333333333336, -0.38333333333333336, -0.38333333333333336, -0.38333333333333336, -0.38333333333333336, -0.38333333333333336, -0.38333333333333336, -0.38333333333333336, -0.38333333333333336, -0.38333333333333336, -0.38333333333333336, -0.38333333333333336, -0.38333333333333336, -0.38333333333333336, -0.2518518518518518]"	"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0]"	"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"	"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"	"[0.2753210999944713, 0.5337811999925179, 0.7755897000024561, 1.00047819998872, 1.683717699997942, 2.0587210999947274, 2.4254043999972055, 2.758931999997003, 3.1589567999908468, 3.5089567999966675, 3.883882900001481, 4.233878099999856, 4.525717999989865, 4.825671400001738, 5.300796299998183, 5.759291700000176, 6.242364399993676, 6.6173767000000225, 7.085483099988778, 7.50097839999944, 7.852288399997633, 8.292702199993073, 8.734328799997456, 9.142739299990353, 9.56772049999563, 9.976101399995969, 10.450966099990183, 11.194052199993166, 11.551208099990617, 12.051140600000508, 12.559682799997972]"	30	"[0.2733957000018563, 0.5318607000081101, 0.773732800007565, 0.9985516000015195, 1.681791199996951, 2.0568014000018593, 2.423475600007805, 2.7570118000003276, 3.157031000009738, 3.507032399997115, 3.8819607000041287, 4.231952000001911, 4.523792699998012, 4.823754600001848, 5.298876800006838, 5.757377300004009, 6.240435800005798, 6.615449200005969, 7.0837213000049815, 7.49905270000454, 7.850646899998537, 8.290784900003928, 8.732415700011188, 9.14081250000163, 9.565795200003777, 9.974176800009445, 10.44904440001119, 11.192283900003531, 11.549283800006378, 12.049214200000279]"	"[0.37319620000198483, 0.6566084000078263, 0.8899098999972921, 1.164990300007048, 1.8149935000110418, 2.1650413000024855, 2.5233612000010908, 2.8733861000073375, 3.273401099999319, 3.640206500000204, 4.048453100011102, 4.365147300006356, 4.648495900008129, 4.931907600010163, 5.415227999998024, 5.881904300011229, 6.3819427999987965, 6.765355700001237, 7.190320100009558, 7.640477100008866, 8.007082800002536, 8.44875399999728, 8.849750399996992, 9.248805700000958, 9.648925300003611, 10.090526400003, 10.582301800008281, 11.298999200007529, 11.690646700008074, 12.140678299998399]"	292.97313920001	292.978609500002	294.470583500006	294.478719600011	NA	NA	NA	NA	NA	NA	NA	14	"02"	"2024-02-07_15h21.42.956"	"BART_exp"	"2023.2.3"	119.93197460356	"2024-02-07 15h22.01.255697 +0100"	NA
