diceImage	d_number	dice_loop.thisRepN	dice_loop.thisTrialN	dice_loop.thisN	dice_loop.thisIndex	thisRow.t	notes	Start.started	text_start.started	continue_start.started	mouse_start.started	Start.stopped	mouse_start.x	mouse_start.y	mouse_start.leftButton	mouse_start.midButton	mouse_start.rightButton	mouse_start.time	trial.started	box_dice.started	text_dice_header.started	text_gain.started	value_gain.started	text_bank.started	value_bank.started	img_dice_1.started	img_dice_2.started	img_dice_3.started	img_dice_4.started	img_dice_5.started	img_dice_6.started	img_dice_1_2.started	img_dice_3_4.started	img_dice_5_6.started	img_dice_1_2_3.started	img_dice_4_5_6.started	img_dice_1_2_3_4.started	img_dice_2_3_4_5.started	img_dice_3_4_5_6.started	text_value_header.started	text_value_1000.started	text_value_500.started	text_value_200.started	text_value_100.started	mouse_task.started	gain_sound.started	img_dice_throw_trials.started	gain_sound.stopped	img_dice_throw_trials.stopped	trial.stopped	mouse_task.x	mouse_task.y	mouse_task.leftButton	mouse_task.midButton	mouse_task.rightButton	mouse_task.time	choice	gain	loss_sound.started	End.started	text_end.started	key_end.started	End.stopped	key_end.keys	key_end.rt	key_end.duration	participant	session	date	expName	psychopyVersion	frameRate	expStart	
								0.04519040009472519	0.05456480011343956	0.05456480011343956	0.04553419991862029	28.41547550004907	[0.6675925925925926]	[-0.40555555555555556]	[1]	[0]	[0]	[28.36935400008224]																																																	21	02	2024-02-14_13h57.32.391	GDT_exp	2023.2.3	120.02438902977899	2024-02-14 13h57.50.408555 +0100	
dice_4.png	4	0	0	0	3	28.498218500055373													28.420275500044227	28.498218500055373	28.498218500055373	28.498218500055373	28.498218500055373	28.498218500055373	28.498218500055373	28.498218500055373	28.498218500055373	28.498218500055373	28.498218500055373	28.498218500055373	28.498218500055373	28.498218500055373	28.498218500055373	28.498218500055373	28.498218500055373	28.498218500055373	28.498218500055373	28.498218500055373	28.498218500055373	28.498218500055373	28.498218500055373	28.498218500055373	28.498218500055373	28.498218500055373	0.022787999943830073	3.849603799986653	32.33179290010594	5.3499240999808535	33.90692910004873	33.859664900111966	"[-0.2796296296296296, -0.27685185185185185]"	"[-0.1287037037037037, -0.13333333333333333]"	"[1, 0]"	"[0, 0]"	"[0, 1]"	"[3.3202642999822274, 3.795443700044416]"	2	500									21	02	2024-02-14_13h57.32.391	GDT_exp	2023.2.3	120.02438902977899	2024-02-14 13h57.50.408555 +0100	
dice_5.png	5	0	1	1	4	33.90692910004873													33.86047270009294	33.90692910004873	33.90692910004873	33.90692910004873	33.90692910004873	33.90692910004873	33.90692910004873	33.90692910004873	33.90692910004873	33.90692910004873	33.90692910004873	33.90692910004873	33.90692910004873	33.90692910004873	33.90692910004873	33.90692910004873	33.90692910004873	33.90692910004873	33.90692910004873	33.90692910004873	33.90692910004873	33.90692910004873	33.90692910004873	33.90692910004873	33.90692910004873	33.90692910004873	0.02195999992545694		36.240400000009686		37.7821936000837	37.74291110003833	"[-0.17314814814814813, -0.17314814814814813]"	"[-0.046296296296296294, -0.046296296296296294]"	"[1, 0]"	"[0, 0]"	"[0, 1]"	"[1.7662284999387339, 2.291204600012861]"	1	-1000	2.3134079999290407								21	02	2024-02-14_13h57.32.391	GDT_exp	2023.2.3	120.02438902977899	2024-02-14 13h57.50.408555 +0100	
dice_2.png	2	0	2	2	1	37.7821936000837													37.74348290008493	37.7821936000837	37.7821936000837	37.7821936000837	37.7821936000837	37.7821936000837	37.7821936000837	37.7821936000837	37.7821936000837	37.7821936000837	37.7821936000837	37.7821936000837	37.7821936000837	37.7821936000837	37.7821936000837	37.7821936000837	37.7821936000837	37.7821936000837	37.7821936000837	37.7821936000837	37.7821936000837	37.7821936000837	37.7821936000837	37.7821936000837	37.7821936000837	37.7821936000837	0.014787800027988851		38.77391790004913		40.357372600003146	40.31008130009286	"[-0.09444444444444444, -0.09259259259259259]"	"[-0.24351851851851852, -0.24074074074074073]"	"[1, 0]"	"[0, 0]"	"[0, 1]"	"[0.39053019997663796, 0.9490932000335306]"	3	-200	0.9639401000458747								21	02	2024-02-14_13h57.32.391	GDT_exp	2023.2.3	120.02438902977899	2024-02-14 13h57.50.408555 +0100	
dice_6.png	6	0	3	3	5	40.357372600003146													40.31065480003599	40.357372600003146	40.357372600003146	40.357372600003146	40.357372600003146	40.357372600003146	40.357372600003146	40.357372600003146	40.357372600003146	40.357372600003146	40.357372600003146	40.357372600003146	40.357372600003146	40.357372600003146	40.357372600003146	40.357372600003146	40.357372600003146	40.357372600003146	40.357372600003146	40.357372600003146	40.357372600003146	40.357372600003146	40.357372600003146	40.357372600003146	40.357372600003146	40.357372600003146	0.01792430004570633		41.19908980000764		42.76593000011053	42.726892000064254	"[-0.41388888888888886, -0.41388888888888886]"	"[-0.2462962962962963, -0.2462962962962963]"	"[1, 0]"	"[0, 0]"	"[0, 1]"	"[0.5621893999632448, 0.8037156999344006]"	3	-200	0.8219039000105113								21	02	2024-02-14_13h57.32.391	GDT_exp	2023.2.3	120.02438902977899	2024-02-14 13h57.50.408555 +0100	
dice_3.png	3	0	4	4	2	42.76593000011053													42.72746340010781	42.76593000011053	42.76593000011053	42.76593000011053	42.76593000011053	42.76593000011053	42.76593000011053	42.76593000011053	42.76593000011053	42.76593000011053	42.76593000011053	42.76593000011053	42.76593000011053	42.76593000011053	42.76593000011053	42.76593000011053	42.76593000011053	42.76593000011053	42.76593000011053	42.76593000011053	42.76593000011053	42.76593000011053	42.76593000011053	42.76593000011053	42.76593000011053	42.76593000011053	0.014942099922336638	0.7969314999645576	43.59092350001447	2.3220910999225453	45.14943140000105	45.11037150002085	"[-0.275, -0.275]"	"[-0.34444444444444444, -0.34444444444444444]"	"[1, 0]"	"[0, 0]"	"[0, 1]"	"[0.2817480000667274, 0.7817288000369444]"	4	100									21	02	2024-02-14_13h57.32.391	GDT_exp	2023.2.3	120.02438902977899	2024-02-14 13h57.50.408555 +0100	
dice_1.png	1	0	5	5	0	45.14943140000105													45.110960800084285	45.14943140000105	45.14943140000105	45.14943140000105	45.14943140000105	45.14943140000105	45.14943140000105	45.14943140000105	45.14943140000105	45.14943140000105	45.14943140000105	45.14943140000105	45.14943140000105	45.14943140000105	45.14943140000105	45.14943140000105	45.14943140000105	45.14943140000105	45.14943140000105	45.14943140000105	45.14943140000105	45.14943140000105	45.14943140000105	45.14943140000105	45.14943140000105	45.14943140000105	0.01792709995061159		46.116260200040415		47.657929100096226	47.618402300053276	"[-0.2324074074074074, -0.23333333333333334]"	"[-0.15462962962962962, -0.15833333333333333]"	"[1, 0]"	"[0, 0]"	"[0, 1]"	"[0.4287597000366077, 0.9204635999631137]"	2	-500	0.9386291999835521								21	02	2024-02-14_13h57.32.391	GDT_exp	2023.2.3	120.02438902977899	2024-02-14 13h57.50.408555 +0100	
dice_1.png	1	1	0	6	0	47.657929100096226													47.61892340006307	47.657929100096226	47.657929100096226	47.657929100096226	47.657929100096226	47.657929100096226	47.657929100096226	47.657929100096226	47.657929100096226	47.657929100096226	47.657929100096226	47.657929100096226	47.657929100096226	47.657929100096226	47.657929100096226	47.657929100096226	47.657929100096226	47.657929100096226	47.657929100096226	47.657929100096226	47.657929100096226	47.657929100096226	47.657929100096226	47.657929100096226	47.657929100096226	47.657929100096226	0.015995000023394823		49.2329805000918		50.77476120006759	50.73561450000852	"[-0.05648148148148148, -0.05648148148148148]"	"[-0.2518518518518518, -0.2518518518518518]"	"[1, 0]"	"[0, 0]"	"[0, 1]"	"[1.0061363999266177, 1.5229868999449536]"	3	-200	1.539249200024642								21	02	2024-02-14_13h57.32.391	GDT_exp	2023.2.3	120.02438902977899	2024-02-14 13h57.50.408555 +0100	
dice_6.png	6	1	1	7	5	50.77476120006759													50.73621000000276	50.77476120006759	50.77476120006759	50.77476120006759	50.77476120006759	50.77476120006759	50.77476120006759	50.77476120006759	50.77476120006759	50.77476120006759	50.77476120006759	50.77476120006759	50.77476120006759	50.77476120006759	50.77476120006759	50.77476120006759	50.77476120006759	50.77476120006759	50.77476120006759	50.77476120006759	50.77476120006759	50.77476120006759	50.77476120006759	50.77476120006759	50.77476120006759	50.77476120006759	0.01472880004439503		52.116522400057875		53.6749642000068	53.627249900018796	"[-0.5462962962962963, -0.5462962962962963]"	"[-0.3648148148148148, -0.3675925925925926]"	"[1, 0]"	"[0, 0]"	"[0, 1]"	"[0.8070870999945328, 1.2987622999353334]"	4	-100	1.3137789000757039								21	02	2024-02-14_13h57.32.391	GDT_exp	2023.2.3	120.02438902977899	2024-02-14 13h57.50.408555 +0100	
dice_4.png	4	1	2	8	3	53.6749642000068													53.62778740003705	53.6749642000068	53.6749642000068	53.6749642000068	53.6749642000068	53.6749642000068	53.6749642000068	53.6749642000068	53.6749642000068	53.6749642000068	53.6749642000068	53.6749642000068	53.6749642000068	53.6749642000068	53.6749642000068	53.6749642000068	53.6749642000068	53.6749642000068	53.6749642000068	53.6749642000068	53.6749642000068	53.6749642000068	53.6749642000068	53.6749642000068	53.6749642000068	53.6749642000068	0.018678300082683563		54.99185240000952		56.55863240000326	56.51914410002064	"[-0.325, -0.32685185185185184]"	"[-0.044444444444444446, -0.04814814814814815]"	"[1, 0]"	"[0, 0]"	"[0, 1]"	"[0.9203267999691889, 1.2701316999737173]"	1	-1000	1.2890757999848574								21	02	2024-02-14_13h57.32.391	GDT_exp	2023.2.3	120.02438902977899	2024-02-14 13h57.50.408555 +0100	
