diceImage	d_number	dice_loop.thisRepN	dice_loop.thisTrialN	dice_loop.thisN	dice_loop.thisIndex	thisRow.t	notes	Start.started	text_start.started	continue_start.started	mouse_start.started	Start.stopped	mouse_start.x	mouse_start.y	mouse_start.leftButton	mouse_start.midButton	mouse_start.rightButton	mouse_start.time	trial.started	box_dice.started	text_dice_header.started	text_gain.started	value_gain.started	text_bank.started	value_bank.started	img_dice_1.started	img_dice_2.started	img_dice_3.started	img_dice_4.started	img_dice_5.started	img_dice_6.started	img_dice_1_2.started	img_dice_3_4.started	img_dice_5_6.started	img_dice_1_2_3.started	img_dice_4_5_6.started	img_dice_1_2_3_4.started	img_dice_2_3_4_5.started	img_dice_3_4_5_6.started	text_value_header.started	text_value_1000.started	text_value_500.started	text_value_200.started	text_value_100.started	mouse_task.started	img_dice_throw_trials.started	img_dice_throw_trials.stopped	trial.stopped	mouse_task.x	mouse_task.y	mouse_task.leftButton	mouse_task.midButton	mouse_task.rightButton	mouse_task.time	choice	gain	End.started	text_end.started	key_end.started	End.stopped	key_end.keys	key_end.rt	key_end.duration	participant	session	date	expName	psychopyVersion	frameRate	expStart	
								0.008062200038693845	0.022150199976749718	0.022150199976749718	0.008950999937951565	0.9493398999329656	[0.6283333333333333]	[-0.37]	[1]	[0]	[0]	[0.9353814999340102]																																														01	01	2023-12-13_13h39.09.972	GDT_exp	2023.2.2	None	2023-12-13 13h39.29.297531 +0100	
dice_6.png	6	0	0	0	5	1.1114279000321403													0.9609830999979749	1.1114279000321403	1.1114279000321403	1.1114279000321403	1.1114279000321403	1.1114279000321403	1.1114279000321403	1.1114279000321403	1.1114279000321403	1.1114279000321403	1.1114279000321403	1.1114279000321403	1.1114279000321403	1.1114279000321403	1.1114279000321403	1.1114279000321403	1.1114279000321403	1.1114279000321403	1.1114279000321403	1.1114279000321403	1.1114279000321403	1.1114279000321403	1.1114279000321403	1.1114279000321403	1.1114279000321403	1.1114279000321403	0.033948700060136616	2.8521278999978676	4.44500089995563	4.399854399962351	"[0.09583333333333334, 0.13833333333333334, -0.03, -0.03]"	"[-0.33166666666666667, -0.2991666666666667, -0.24833333333333332, -0.24833333333333332]"	"[1, 0, 1, 1]"	"[0, 0, 0, 0]"	"[0, 1, 0, 0]"	"[1.3758480999385938, 1.7614532000152394, 2.829317900002934, 3.0195690999971703]"	3	100								01	01	2023-12-13_13h39.09.972	GDT_exp	2023.2.2	None	2023-12-13 13h39.29.297531 +0100	
dice_2.png	2	0	1	1	1	4.44500089995563													4.402979700011201	4.44500089995563	4.44500089995563	4.44500089995563	4.44500089995563	4.44500089995563	4.44500089995563	4.44500089995563	4.44500089995563	4.44500089995563	4.44500089995563	4.44500089995563	4.44500089995563	4.44500089995563	4.44500089995563	4.44500089995563	4.44500089995563	4.44500089995563	4.44500089995563	4.44500089995563	4.44500089995563	4.44500089995563	4.44500089995563	4.44500089995563	4.44500089995563	4.44500089995563	0.008266199962235987	5.116159599972889	6.706707200035453	6.657604799955152	"[-0.03, -0.005833333333333334]"	"[-0.24833333333333332, -0.25666666666666665]"	"[1, 0]"	"[0, 0]"	"[0, 1]"	"[0.34969389997422695, 0.6065134999807924]"	3	-200								01	01	2023-12-13_13h39.09.972	GDT_exp	2023.2.2	None	2023-12-13 13h39.29.297531 +0100	
dice_1.png	1	0	2	2	0	6.706707200035453													6.658441899926402	6.706707200035453	6.706707200035453	6.706707200035453	6.706707200035453	6.706707200035453	6.706707200035453	6.706707200035453	6.706707200035453	6.706707200035453	6.706707200035453	6.706707200035453	6.706707200035453	6.706707200035453	6.706707200035453	6.706707200035453	6.706707200035453	6.706707200035453	6.706707200035453	6.706707200035453	6.706707200035453	6.706707200035453	6.706707200035453	6.706707200035453	6.706707200035453	6.706707200035453	0.01453439996112138	7.3521312000229955	8.93100380001124	8.885553800035268	"[-0.22083333333333333, -0.11333333333333333]"	"[-0.34833333333333333, -0.37166666666666665]"	"[1, 0]"	"[0, 0]"	"[0, 1]"	"[0.3158666000235826, 0.589554600068368]"	4	-100								01	01	2023-12-13_13h39.09.972	GDT_exp	2023.2.2	None	2023-12-13 13h39.29.297531 +0100	
dice_3.png	3	0	3	3	2	8.93100380001124													8.886354099959135	8.93100380001124	8.93100380001124	8.93100380001124	8.93100380001124	8.93100380001124	8.93100380001124	8.93100380001124	8.93100380001124	8.93100380001124	8.93100380001124	8.93100380001124	8.93100380001124	8.93100380001124	8.93100380001124	8.93100380001124	8.93100380001124	8.93100380001124	8.93100380001124	8.93100380001124	8.93100380001124	8.93100380001124	8.93100380001124	8.93100380001124	8.93100380001124	8.93100380001124	0.01191970007494092	9.47521850001067	11.03741320001427	10.995584700023755	"[0.0475, 0.0475]"	"[-0.355, -0.355]"	"[1, 0]"	"[0, 0]"	"[0, 1]"	"[0.3367855000542477, 0.48214229999575764]"	4	100								01	01	2023-12-13_13h39.09.972	GDT_exp	2023.2.2	None	2023-12-13 13h39.29.297531 +0100	
dice_4.png	4	0	4	4	3	11.03741320001427													10.996440600021742	11.03741320001427	11.03741320001427	11.03741320001427	11.03741320001427	11.03741320001427	11.03741320001427	11.03741320001427	11.03741320001427	11.03741320001427	11.03741320001427	11.03741320001427	11.03741320001427	11.03741320001427	11.03741320001427	11.03741320001427	11.03741320001427	11.03741320001427	11.03741320001427	11.03741320001427	11.03741320001427	11.03741320001427	11.03741320001427	11.03741320001427	11.03741320001427	11.03741320001427	0.00844980007968843	11.746801699977368	13.320443699951284	13.279652699944563	"[-0.18833333333333332, -0.16416666666666666]"	"[-0.35, -0.4175]"	"[1, 0]"	"[0, 0]"	"[0, 1]"	"[0.34194359998218715, 0.6492184000089765]"	4	100								01	01	2023-12-13_13h39.09.972	GDT_exp	2023.2.2	None	2023-12-13 13h39.29.297531 +0100	
dice_5.png	5	0	5	5	4	13.320443699951284													13.280482499976642	13.320443699951284	13.320443699951284	13.320443699951284	13.320443699951284	13.320443699951284	13.320443699951284	13.320443699951284	13.320443699951284	13.320443699951284	13.320443699951284	13.320443699951284	13.320443699951284	13.320443699951284	13.320443699951284	13.320443699951284	13.320443699951284	13.320443699951284	13.320443699951284	13.320443699951284	13.320443699951284	13.320443699951284	13.320443699951284	13.320443699951284	13.320443699951284	13.320443699951284	0.007104899967089295	13.805008199997246	15.372975799953565	15.332899000030011	"[-0.1975, -0.17333333333333334]"	"[-0.3458333333333333, -0.43416666666666665]"	"[1, 0]"	"[0, 0]"	"[0, 1]"	"[0.1427170999813825, 0.4227401999523863]"	4	100								01	01	2023-12-13_13h39.09.972	GDT_exp	2023.2.2	None	2023-12-13 13h39.29.297531 +0100	
dice_3.png	3	1	0	6	2	15.372975799953565													15.333718199981377	15.372975799953565	15.372975799953565	15.372975799953565	15.372975799953565	15.372975799953565	15.372975799953565	15.372975799953565	15.372975799953565	15.372975799953565	15.372975799953565	15.372975799953565	15.372975799953565	15.372975799953565	15.372975799953565	15.372975799953565	15.372975799953565	15.372975799953565	15.372975799953565	15.372975799953565	15.372975799953565	15.372975799953565	15.372975799953565	15.372975799953565	15.372975799953565	15.372975799953565	0.0069905000273138285	16.09198759996798	17.677823800011538	17.627009099931456	"[0.065, 0.08583333333333333]"	"[-0.35333333333333333, -0.42833333333333334]"	"[1, 0]"	"[0, 0]"	"[0, 1]"	"[0.3394721000222489, 0.6405516000231728]"	4	100								01	01	2023-12-13_13h39.09.972	GDT_exp	2023.2.2	None	2023-12-13 13h39.29.297531 +0100	
dice_6.png	6	1	1	7	5	17.677823800011538													17.628197800018825	17.677823800011538	17.677823800011538	17.677823800011538	17.677823800011538	17.677823800011538	17.677823800011538	17.677823800011538	17.677823800011538	17.677823800011538	17.677823800011538	17.677823800011538	17.677823800011538	17.677823800011538	17.677823800011538	17.677823800011538	17.677823800011538	17.677823800011538	17.677823800011538	17.677823800011538	17.677823800011538	17.677823800011538	17.677823800011538	17.677823800011538	17.677823800011538	17.677823800011538	0.014376300037838519	18.39322860003449	19.932427800027654	19.899730999954045	"[-0.19833333333333333, -0.1475]"	"[-0.3575, -0.44416666666666665]"	"[1, 0]"	"[0, 0]"	"[0, 1]"	"[0.33777929993811995, 0.6566409999504685]"	4	-100								01	01	2023-12-13_13h39.09.972	GDT_exp	2023.2.2	None	2023-12-13 13h39.29.297531 +0100	
dice_4.png	4	1	2	8	3	19.932427800027654													19.900382600026205	19.932427800027654	19.932427800027654	19.932427800027654	19.932427800027654	19.932427800027654	19.932427800027654	19.932427800027654	19.932427800027654	19.932427800027654	19.932427800027654	19.932427800027654	19.932427800027654	19.932427800027654	19.932427800027654	19.932427800027654	19.932427800027654	19.932427800027654	19.932427800027654	19.932427800027654	19.932427800027654	19.932427800027654	19.932427800027654	19.932427800027654	19.932427800027654	19.932427800027654	0.0055967000080272555	20.66087429993786	22.206624599988572	22.173492799978703	"[-0.2683333333333333, -0.20666666666666667]"	"[-0.355, -0.42916666666666664]"	"[1, 0]"	"[0, 0]"	"[0, 1]"	"[0.3689140999922529, 0.673240500036627]"	4	100								01	01	2023-12-13_13h39.09.972	GDT_exp	2023.2.2	None	2023-12-13 13h39.29.297531 +0100	
