"diceImage"	"d_number"	"dice_loop.thisRepN"	"dice_loop.thisTrialN"	"dice_loop.thisN"	"dice_loop.thisIndex"	"thisRow.t"	"notes"	"Start.started"	"text_start.started"	"continue_start.started"	"mouse_start.started"	"Start.stopped"	"mouse_start.x"	"mouse_start.y"	"mouse_start.leftButton"	"mouse_start.midButton"	"mouse_start.rightButton"	"mouse_start.time"	"trial.started"	"box_dice.started"	"text_dice_header.started"	"text_gain.started"	"value_gain.started"	"text_bank.started"	"value_bank.started"	"img_dice_1.started"	"img_dice_2.started"	"img_dice_3.started"	"img_dice_4.started"	"img_dice_5.started"	"img_dice_6.started"	"img_dice_1_2.started"	"img_dice_3_4.started"	"img_dice_5_6.started"	"img_dice_1_2_3.started"	"img_dice_4_5_6.started"	"img_dice_1_2_3_4.started"	"img_dice_2_3_4_5.started"	"img_dice_3_4_5_6.started"	"text_value_header.started"	"text_value_1000.started"	"text_value_500.started"	"text_value_200.started"	"text_value_100.started"	"mouse_task.started"	"img_dice_throw_trials.started"	"img_dice_throw_trials.stopped"	"trial.stopped"	"mouse_task.x"	"mouse_task.y"	"mouse_task.leftButton"	"mouse_task.midButton"	"mouse_task.rightButton"	"mouse_task.time"	"choice"	"gain"	"End.started"	"text_end.started"	"key_end.started"	"End.stopped"	"key_end.keys"	"key_end.rt"	"key_end.duration"	"participant"	"session"	"date"	"expName"	"psychopyVersion"	"frameRate"	"expStart"	"...72"
NA	NA	NA	NA	NA	NA	NA	NA	0.00806220003869384	0.0221501999767497	0.0221501999767497	0.00895099993795156	0.949339899932966	"[0.6283333333333333]"	"[-0.37]"	"[1]"	"[0]"	"[0]"	"[0.9353814999340102]"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"01"	"01"	"2023-12-13_13h39.09.972"	"GDT_exp"	"2023.2.2"	"None"	"2023-12-13 13h39.29.297531 +0100"	NA
"dice_6.png"	6	0	0	0	5	1.11142790003214	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.960983099997975	1.11142790003214	1.11142790003214	1.11142790003214	1.11142790003214	1.11142790003214	1.11142790003214	1.11142790003214	1.11142790003214	1.11142790003214	1.11142790003214	1.11142790003214	1.11142790003214	1.11142790003214	1.11142790003214	1.11142790003214	1.11142790003214	1.11142790003214	1.11142790003214	1.11142790003214	1.11142790003214	1.11142790003214	1.11142790003214	1.11142790003214	1.11142790003214	1.11142790003214	0.0339487000601366	2.85212789999787	4.44500089995563	4.39985439996235	"[0.09583333333333334, 0.13833333333333334, -0.03, -0.03]"	"[-0.33166666666666667, -0.2991666666666667, -0.24833333333333332, -0.24833333333333332]"	"[1, 0, 1, 1]"	"[0, 0, 0, 0]"	"[0, 1, 0, 0]"	"[1.3758480999385938, 1.7614532000152394, 2.829317900002934, 3.0195690999971703]"	3	100	NA	NA	NA	NA	NA	NA	NA	"01"	"01"	"2023-12-13_13h39.09.972"	"GDT_exp"	"2023.2.2"	"None"	"2023-12-13 13h39.29.297531 +0100"	NA
"dice_2.png"	2	0	1	1	1	4.44500089995563	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.4029797000112	4.44500089995563	4.44500089995563	4.44500089995563	4.44500089995563	4.44500089995563	4.44500089995563	4.44500089995563	4.44500089995563	4.44500089995563	4.44500089995563	4.44500089995563	4.44500089995563	4.44500089995563	4.44500089995563	4.44500089995563	4.44500089995563	4.44500089995563	4.44500089995563	4.44500089995563	4.44500089995563	4.44500089995563	4.44500089995563	4.44500089995563	4.44500089995563	4.44500089995563	0.00826619996223598	5.11615959997289	6.70670720003545	6.65760479995515	"[-0.03, -0.005833333333333334]"	"[-0.24833333333333332, -0.25666666666666665]"	"[1, 0]"	"[0, 0]"	"[0, 1]"	"[0.34969389997422695, 0.6065134999807924]"	3	-200	NA	NA	NA	NA	NA	NA	NA	"01"	"01"	"2023-12-13_13h39.09.972"	"GDT_exp"	"2023.2.2"	"None"	"2023-12-13 13h39.29.297531 +0100"	NA
"dice_1.png"	1	0	2	2	0	6.70670720003545	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.6584418999264	6.70670720003545	6.70670720003545	6.70670720003545	6.70670720003545	6.70670720003545	6.70670720003545	6.70670720003545	6.70670720003545	6.70670720003545	6.70670720003545	6.70670720003545	6.70670720003545	6.70670720003545	6.70670720003545	6.70670720003545	6.70670720003545	6.70670720003545	6.70670720003545	6.70670720003545	6.70670720003545	6.70670720003545	6.70670720003545	6.70670720003545	6.70670720003545	6.70670720003545	0.0145343999611214	7.352131200023	8.93100380001124	8.88555380003527	"[-0.22083333333333333, -0.11333333333333333]"	"[-0.34833333333333333, -0.37166666666666665]"	"[1, 0]"	"[0, 0]"	"[0, 1]"	"[0.3158666000235826, 0.589554600068368]"	4	-100	NA	NA	NA	NA	NA	NA	NA	"01"	"01"	"2023-12-13_13h39.09.972"	"GDT_exp"	"2023.2.2"	"None"	"2023-12-13 13h39.29.297531 +0100"	NA
"dice_3.png"	3	0	3	3	2	8.93100380001124	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8.88635409995914	8.93100380001124	8.93100380001124	8.93100380001124	8.93100380001124	8.93100380001124	8.93100380001124	8.93100380001124	8.93100380001124	8.93100380001124	8.93100380001124	8.93100380001124	8.93100380001124	8.93100380001124	8.93100380001124	8.93100380001124	8.93100380001124	8.93100380001124	8.93100380001124	8.93100380001124	8.93100380001124	8.93100380001124	8.93100380001124	8.93100380001124	8.93100380001124	8.93100380001124	0.0119197000749409	9.47521850001067	11.0374132000143	10.9955847000238	"[0.0475, 0.0475]"	"[-0.355, -0.355]"	"[1, 0]"	"[0, 0]"	"[0, 1]"	"[0.3367855000542477, 0.48214229999575764]"	4	100	NA	NA	NA	NA	NA	NA	NA	"01"	"01"	"2023-12-13_13h39.09.972"	"GDT_exp"	"2023.2.2"	"None"	"2023-12-13 13h39.29.297531 +0100"	NA
"dice_4.png"	4	0	4	4	3	11.0374132000143	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10.9964406000217	11.0374132000143	11.0374132000143	11.0374132000143	11.0374132000143	11.0374132000143	11.0374132000143	11.0374132000143	11.0374132000143	11.0374132000143	11.0374132000143	11.0374132000143	11.0374132000143	11.0374132000143	11.0374132000143	11.0374132000143	11.0374132000143	11.0374132000143	11.0374132000143	11.0374132000143	11.0374132000143	11.0374132000143	11.0374132000143	11.0374132000143	11.0374132000143	11.0374132000143	0.00844980007968843	11.7468016999774	13.3204436999513	13.2796526999446	"[-0.18833333333333332, -0.16416666666666666]"	"[-0.35, -0.4175]"	"[1, 0]"	"[0, 0]"	"[0, 1]"	"[0.34194359998218715, 0.6492184000089765]"	4	100	NA	NA	NA	NA	NA	NA	NA	"01"	"01"	"2023-12-13_13h39.09.972"	"GDT_exp"	"2023.2.2"	"None"	"2023-12-13 13h39.29.297531 +0100"	NA
"dice_5.png"	5	0	5	5	4	13.3204436999513	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	13.2804824999766	13.3204436999513	13.3204436999513	13.3204436999513	13.3204436999513	13.3204436999513	13.3204436999513	13.3204436999513	13.3204436999513	13.3204436999513	13.3204436999513	13.3204436999513	13.3204436999513	13.3204436999513	13.3204436999513	13.3204436999513	13.3204436999513	13.3204436999513	13.3204436999513	13.3204436999513	13.3204436999513	13.3204436999513	13.3204436999513	13.3204436999513	13.3204436999513	13.3204436999513	0.00710489996708929	13.8050081999972	15.3729757999536	15.33289900003	"[-0.1975, -0.17333333333333334]"	"[-0.3458333333333333, -0.43416666666666665]"	"[1, 0]"	"[0, 0]"	"[0, 1]"	"[0.1427170999813825, 0.4227401999523863]"	4	100	NA	NA	NA	NA	NA	NA	NA	"01"	"01"	"2023-12-13_13h39.09.972"	"GDT_exp"	"2023.2.2"	"None"	"2023-12-13 13h39.29.297531 +0100"	NA
"dice_3.png"	3	1	0	6	2	15.3729757999536	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15.3337181999814	15.3729757999536	15.3729757999536	15.3729757999536	15.3729757999536	15.3729757999536	15.3729757999536	15.3729757999536	15.3729757999536	15.3729757999536	15.3729757999536	15.3729757999536	15.3729757999536	15.3729757999536	15.3729757999536	15.3729757999536	15.3729757999536	15.3729757999536	15.3729757999536	15.3729757999536	15.3729757999536	15.3729757999536	15.3729757999536	15.3729757999536	15.3729757999536	15.3729757999536	0.00699050002731382	16.091987599968	17.6778238000115	17.6270090999315	"[0.065, 0.08583333333333333]"	"[-0.35333333333333333, -0.42833333333333334]"	"[1, 0]"	"[0, 0]"	"[0, 1]"	"[0.3394721000222489, 0.6405516000231728]"	4	100	NA	NA	NA	NA	NA	NA	NA	"01"	"01"	"2023-12-13_13h39.09.972"	"GDT_exp"	"2023.2.2"	"None"	"2023-12-13 13h39.29.297531 +0100"	NA
"dice_6.png"	6	1	1	7	5	17.6778238000115	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	17.6281978000188	17.6778238000115	17.6778238000115	17.6778238000115	17.6778238000115	17.6778238000115	17.6778238000115	17.6778238000115	17.6778238000115	17.6778238000115	17.6778238000115	17.6778238000115	17.6778238000115	17.6778238000115	17.6778238000115	17.6778238000115	17.6778238000115	17.6778238000115	17.6778238000115	17.6778238000115	17.6778238000115	17.6778238000115	17.6778238000115	17.6778238000115	17.6778238000115	17.6778238000115	0.0143763000378385	18.3932286000345	19.9324278000277	19.899730999954	"[-0.19833333333333333, -0.1475]"	"[-0.3575, -0.44416666666666665]"	"[1, 0]"	"[0, 0]"	"[0, 1]"	"[0.33777929993811995, 0.6566409999504685]"	4	-100	NA	NA	NA	NA	NA	NA	NA	"01"	"01"	"2023-12-13_13h39.09.972"	"GDT_exp"	"2023.2.2"	"None"	"2023-12-13 13h39.29.297531 +0100"	NA
"dice_4.png"	4	1	2	8	3	19.9324278000277	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	19.9003826000262	19.9324278000277	19.9324278000277	19.9324278000277	19.9324278000277	19.9324278000277	19.9324278000277	19.9324278000277	19.9324278000277	19.9324278000277	19.9324278000277	19.9324278000277	19.9324278000277	19.9324278000277	19.9324278000277	19.9324278000277	19.9324278000277	19.9324278000277	19.9324278000277	19.9324278000277	19.9324278000277	19.9324278000277	19.9324278000277	19.9324278000277	19.9324278000277	19.9324278000277	0.00559670000802725	20.6608742999379	22.2066245999886	22.1734927999787	"[-0.2683333333333333, -0.20666666666666667]"	"[-0.355, -0.42916666666666664]"	"[1, 0]"	"[0, 0]"	"[0, 1]"	"[0.3689140999922529, 0.673240500036627]"	4	100	NA	NA	NA	NA	NA	NA	NA	"01"	"01"	"2023-12-13_13h39.09.972"	"GDT_exp"	"2023.2.2"	"None"	"2023-12-13 13h39.29.297531 +0100"	NA
