diceImage	d_number	dice_loop.thisRepN	dice_loop.thisTrialN	dice_loop.thisN	dice_loop.thisIndex	thisRow.t	notes	Start.started	text_start.started	continue_start.started	mouse_start.started	Start.stopped	mouse_start.x	mouse_start.y	mouse_start.leftButton	mouse_start.midButton	mouse_start.rightButton	mouse_start.time	trial.started	box_dice.started	text_dice_header.started	text_gain.started	value_gain.started	text_bank.started	value_bank.started	img_dice_1.started	img_dice_2.started	img_dice_3.started	img_dice_4.started	img_dice_5.started	img_dice_6.started	img_dice_1_2.started	img_dice_3_4.started	img_dice_5_6.started	img_dice_1_2_3.started	img_dice_4_5_6.started	img_dice_1_2_3_4.started	img_dice_2_3_4_5.started	img_dice_3_4_5_6.started	text_value_header.started	text_value_1000.started	text_value_500.started	text_value_200.started	text_value_100.started	mouse_task.started	loss_sound.started	img_dice_throw_trials.started	img_dice_throw_trials.stopped	trial.stopped	mouse_task.x	mouse_task.y	mouse_task.leftButton	mouse_task.midButton	mouse_task.rightButton	mouse_task.time	choice	gain	gain_sound.started	gain_sound.stopped	End.started	text_end.started	key_end.started	End.stopped	key_end.keys	key_end.rt	key_end.duration	participant	session	date	expName	psychopyVersion	frameRate	expStart	
								0.03911259999949834	0.04976069999975152	0.04976069999975152	0.03946420000283979	97.04063899999892	[0.7055555555555556]	[-0.4074074074074074]	[1]	[0]	[0]	[97.00056340000083]																																																	18	03	2024-02-08_15h47.52.652	GDT_exp	2023.2.3	119.92938557760114	2024-02-08 15h48.02.913900 +0100	
dice_5.png	5	0	0	0	4	97.12341309999829													97.04566639999757	97.12341309999829	97.12341309999829	97.12341309999829	97.12341309999829	97.12341309999829	97.12341309999829	97.12341309999829	97.12341309999829	97.12341309999829	97.12341309999829	97.12341309999829	97.12341309999829	97.12341309999829	97.12341309999829	97.12341309999829	97.12341309999829	97.12341309999829	97.12341309999829	97.12341309999829	97.12341309999829	97.12341309999829	97.12341309999829	97.12341309999829	97.12341309999829	97.12341309999829	0.026114599997526966	3.657833799999935	100.76515930000096	102.34029390000069	102.29307540000082	"[-0.6324074074074074, 0.25833333333333336]"	"[-0.34074074074074073, -0.225]"	"[1, 0]"	"[0, 0]"	"[0, 1]"	"[2.666712300000654, 3.599934199999552]"	4	-100										18	03	2024-02-08_15h47.52.652	GDT_exp	2023.2.3	119.92938557760114	2024-02-08 15h48.02.913900 +0100	
dice_1.png	1	0	1	1	0	102.34029390000069													102.29389209999863	102.34029390000069	102.34029390000069	102.34029390000069	102.34029390000069	102.34029390000069	102.34029390000069	102.34029390000069	102.34029390000069	102.34029390000069	102.34029390000069	102.34029390000069	102.34029390000069	102.34029390000069	102.34029390000069	102.34029390000069	102.34029390000069	102.34029390000069	102.34029390000069	102.34029390000069	102.34029390000069	102.34029390000069	102.34029390000069	102.34029390000069	102.34029390000069	102.34029390000069	0.018399299999146024	1.363315099999454	103.7404166999986	105.29895359999864	105.25140289999763	"[-0.3287037037037037, 0.2916666666666667]"	"[-0.3527777777777778, -0.20833333333333334]"	"[1, 0]"	"[0, 0]"	"[0, 1]"	"[0.6612514999978885, 1.3446513999988383]"	4	-100										18	03	2024-02-08_15h47.52.652	GDT_exp	2023.2.3	119.92938557760114	2024-02-08 15h48.02.913900 +0100	
dice_4.png	4	0	2	2	3	105.29895359999864													105.25197879999905	105.29895359999864	105.29895359999864	105.29895359999864	105.29895359999864	105.29895359999864	105.29895359999864	105.29895359999864	105.29895359999864	105.29895359999864	105.29895359999864	105.29895359999864	105.29895359999864	105.29895359999864	105.29895359999864	105.29895359999864	105.29895359999864	105.29895359999864	105.29895359999864	105.29895359999864	105.29895359999864	105.29895359999864	105.29895359999864	105.29895359999864	105.29895359999864	105.29895359999864	0.017833599998994032		106.33222749999914	107.89901869999812	107.85993139999846	"[-0.22407407407407406, 0.18703703703703703]"	"[-0.32592592592592595, -0.225]"	"[1, 0]"	"[0, 0]"	"[0, 1]"	"[0.42904249999992317, 0.9956990999999107]"	4	100	1.0137470000008761	2.5138855000004696								18	03	2024-02-08_15h47.52.652	GDT_exp	2023.2.3	119.92938557760114	2024-02-08 15h48.02.913900 +0100	
dice_2.png	2	0	3	3	1	107.89901869999812													107.86051840000073	107.89901869999812	107.89901869999812	107.89901869999812	107.89901869999812	107.89901869999812	107.89901869999812	107.89901869999812	107.89901869999812	107.89901869999812	107.89901869999812	107.89901869999812	107.89901869999812	107.89901869999812	107.89901869999812	107.89901869999812	107.89901869999812	107.89901869999812	107.89901869999812	107.89901869999812	107.89901869999812	107.89901869999812	107.89901869999812	107.89901869999812	107.89901869999812	107.89901869999812	0.014822500001173466		109.32425409999996	110.89089999999851	110.85159529999873	"[-0.19907407407407407, 0.19074074074074074]"	"[-0.3425925925925926, -0.22777777777777777]"	"[1, 0]"	"[0, 0]"	"[0, 1]"	"[0.8237163000012515, 1.3736132999983965]"	4	100	1.3887402000000293	2.897211600000446								18	03	2024-02-08_15h47.52.652	GDT_exp	2023.2.3	119.92938557760114	2024-02-08 15h48.02.913900 +0100	
dice_6.png	6	0	4	4	5	110.89089999999851													110.85212179999871	110.89089999999851	110.89089999999851	110.89089999999851	110.89089999999851	110.89089999999851	110.89089999999851	110.89089999999851	110.89089999999851	110.89089999999851	110.89089999999851	110.89089999999851	110.89089999999851	110.89089999999851	110.89089999999851	110.89089999999851	110.89089999999851	110.89089999999851	110.89089999999851	110.89089999999851	110.89089999999851	110.89089999999851	110.89089999999851	110.89089999999851	110.89089999999851	110.89089999999851	0.014790799999900628		111.94095369999923	113.49107979999826	113.45197629999893	"[0.1361111111111111, 0.15925925925925927]"	"[-0.3574074074074074, -0.2518518518518518]"	"[1, 0]"	"[0, 0]"	"[0, 1]"	"[0.5738334999987273, 1.0071418000006815]"	4	100	1.0222988000023179	2.5307809000005363								18	03	2024-02-08_15h47.52.652	GDT_exp	2023.2.3	119.92938557760114	2024-02-08 15h48.02.913900 +0100	
dice_3.png	3	0	5	5	2	113.49107979999826													113.45251799999824	113.49107979999826	113.49107979999826	113.49107979999826	113.49107979999826	113.49107979999826	113.49107979999826	113.49107979999826	113.49107979999826	113.49107979999826	113.49107979999826	113.49107979999826	113.49107979999826	113.49107979999826	113.49107979999826	113.49107979999826	113.49107979999826	113.49107979999826	113.49107979999826	113.49107979999826	113.49107979999826	113.49107979999826	113.49107979999826	113.49107979999826	113.49107979999826	113.49107979999826	0.014453399999183603		120.93325569999797	122.50014609999926	122.45228979999956	"[-0.24259259259259258, 0.06481481481481481]"	"[-0.362962962962963, -0.25833333333333336]"	"[1, 0]"	"[0, 0]"	"[0, 1]"	"[6.707797600000049, 7.391133600001922]"	4	100	7.405869999998686	8.906023299998196								18	03	2024-02-08_15h47.52.652	GDT_exp	2023.2.3	119.92938557760114	2024-02-08 15h48.02.913900 +0100	
dice_4.png	4	1	0	6	3	122.50014609999926													122.45286069999929	122.50014609999926	122.50014609999926	122.50014609999926	122.50014609999926	122.50014609999926	122.50014609999926	122.50014609999926	122.50014609999926	122.50014609999926	122.50014609999926	122.50014609999926	122.50014609999926	122.50014609999926	122.50014609999926	122.50014609999926	122.50014609999926	122.50014609999926	122.50014609999926	122.50014609999926	122.50014609999926	122.50014609999926	122.50014609999926	122.50014609999926	122.50014609999926	122.50014609999926	0.017708600000332808		123.53347329999815	125.10858539999754	125.0608401999998	"[-0.5537037037037037, 0.06851851851851852]"	"[-0.3509259259259259, -0.2361111111111111]"	"[1, 0]"	"[0, 0]"	"[0, 1]"	"[0.3048029999990831, 0.9878108999982942]"	4	100	1.0057122000034724	2.51428820000001								18	03	2024-02-08_15h47.52.652	GDT_exp	2023.2.3	119.92938557760114	2024-02-08 15h48.02.913900 +0100	
dice_6.png	6	1	1	7	5	125.10858539999754													125.06139659999826	125.10858539999754	125.10858539999754	125.10858539999754	125.10858539999754	125.10858539999754	125.10858539999754	125.10858539999754	125.10858539999754	125.10858539999754	125.10858539999754	125.10858539999754	125.10858539999754	125.10858539999754	125.10858539999754	125.10858539999754	125.10858539999754	125.10858539999754	125.10858539999754	125.10858539999754	125.10858539999754	125.10858539999754	125.10858539999754	125.10858539999754	125.10858539999754	125.10858539999754	0.017642099999648053		127.0753584999984	128.65895099999761	128.61156169999958	"[0.049074074074074076, 0.11203703703703703]"	"[-0.36203703703703705, -0.23425925925925925]"	"[1, 0]"	"[0, 0]"	"[0, 1]"	"[1.47969269999885, 1.9295863999977882]"	4	100	1.947459600000002	3.4475941999990027								18	03	2024-02-08_15h47.52.652	GDT_exp	2023.2.3	119.92938557760114	2024-02-08 15h48.02.913900 +0100	
dice_2.png	2	1	2	8	1	128.65895099999761													128.61211600000024	128.65895099999761	128.65895099999761	128.65895099999761	128.65895099999761	128.65895099999761	128.65895099999761	128.65895099999761	128.65895099999761	128.65895099999761	128.65895099999761	128.65895099999761	128.65895099999761	128.65895099999761	128.65895099999761	128.65895099999761	128.65895099999761	128.65895099999761	128.65895099999761	128.65895099999761	128.65895099999761	128.65895099999761	128.65895099999761	128.65895099999761	128.65895099999761	128.65895099999761	0.018253099999128608		129.9755499999992	131.55915019999884	131.51148470000044	"[-0.22777777777777777, 0.09444444444444444]"	"[-0.36203703703703705, -0.25277777777777777]"	"[1, 0]"	"[0, 0]"	"[0, 1]"	"[0.6450089999998454, 1.2699386999993294]"	4	100	1.2885792999986734	2.7970590999975684								18	03	2024-02-08_15h47.52.652	GDT_exp	2023.2.3	119.92938557760114	2024-02-08 15h48.02.913900 +0100	
