image	max_pumps	pump_loop.thisRepN	pump_loop.thisTrialN	pump_loop.thisN	pump_loop.thisIndex	thisRow.t	notes	Welcome.started	text_welcome.started	mouse_welcome.started	continue_welcome.started	Welcome.stopped	mouse_welcome.x	mouse_welcome.y	mouse_welcome.leftButton	mouse_welcome.midButton	mouse_welcome.rightButton	mouse_welcome.time	Demographics.started	text_demographics.started	mouse_demographics.started	text_age_demographics.started	text_age_input.started	text_gender_demographics.started	slider_gender.started	continue_demographics.started	Demographics.stopped	mouse_demographics.x	mouse_demographics.y	mouse_demographics.leftButton	mouse_demographics.midButton	mouse_demographics.rightButton	mouse_demographics.time	text_age_input.text	slider_gender.response	slider_gender.rt	Instructions.started	text_instructions_center.started	text_right_instruction.started	mouse_instructions.started	continue_instructions.started	back_instructions.started	back_instructions.stopped	stim_balloon_instructions.started	stim_balloon_instructions.stopped	stim_balloon_burst_instructions.started	stim_balloon_burst_instructions.stopped	text_balloon_value_instructions.started	text_bank_value_instructions.started	marker_balloon_value.started	marker_balloon_value.stopped	marker_bank_value.started	marker_bank_value.stopped	button_balloon_instructions.started	button_balloon_instructions.stopped	Instructions.stopped	mouse_instructions.x	mouse_instructions.y	mouse_instructions.leftButton	mouse_instructions.midButton	mouse_instructions.rightButton	mouse_instructions.time	button_balloon_instructions.numClicks	button_balloon_instructions.timesOn	button_balloon_instructions.timesOff	Start.started	text_start.started	continue_start.started	mouse_start.started	Start.stopped	mouse_start.x	mouse_start.y	mouse_start.leftButton	mouse_start.midButton	mouse_start.rightButton	mouse_start.time	Test_trials.started	stim_balloon.started	stim_balloon_burst.started	stim_balloon_burst.stopped	text_ballon_value.started	text_bank.started	mouse.started	sound_bang.started	sound_bang.stopped	button_balloon.started	Test_trials.stopped	n_pumps	earnings	popped	mouse.x	mouse.y	mouse.leftButton	mouse.midButton	mouse.rightButton	mouse.time	button_balloon.numClicks	button_balloon.timesOn	button_balloon.timesOff	Feedback.started	text_feedback.started	Feedback.stopped	text_feedback.stopped	End.started	text_end.started	key_end.started	End.stopped	key_end.keys	key_end.rt	key_end.duration	participant	session	date	expName	psychopyVersion	frameRate	expStart	
								0.03810530004557222	0.05113739997614175	0.03843459999188781	0.05113739997614175	4.676959699951112	[0.6814814814814815]	[-0.38425925925925924]	[1]	[0]	[0]	[4.513016099925153]																																																																																													22	01	2024-02-14_15h01.53.284	BART_trial	2023.2.3	119.90048273488365	2024-02-14 15h02.12.617585 +0100	
																			4.677025999990292	4.701408299966715	0.005600900040008128	4.701408299966715	4.701408299966715	4.701408299966715	4.701408299966715	4.701408299966715	9.4792327999603	"[-0.4074074074074074, 0.6962962962962963]"	"[-0.18981481481481483, -0.38981481481481484]"	"[1, 1]"	"[0, 0]"	"[0, 0]"	"[3.627592399949208, 4.6776712000137195]"																																																																														22	01	2024-02-14_15h01.53.284	BART_trial	2023.2.3	119.90048273488365	2024-02-14 15h02.12.617585 +0100	
																																		21	Weiblich	3.7172249000286683	9.479309999966063	9.501746000023559	9.501746000023559	0.0014148999471217394	9.501746000023559	9.501746000023559	9.501746000023559	9.501746000023559	9.501746000023559	9.501746000023559	9.501746000023559	9.501746000023559	9.501746000023559	9.501746000023559	9.501746000023559	9.501746000023559	9.501746000023559	9.501746000023559	9.501746000023559	84.62465060001705	"[0.6564814814814814, 0.05185185185185185, 0.05092592592592592, 0.025925925925925925, 0.7148148148148148, 0.7231481481481481, 0.6787037037037037, 0.700925925925926, 0.6990740740740741, 0.7148148148148148]"	"[-0.38055555555555554, -0.3675925925925926, -0.37222222222222223, -0.3861111111111111, -0.38055555555555554, -0.38425925925925924, -0.2962962962962963, -0.3638888888888889, -0.3861111111111111, -0.4064814814814815]"	"[1, 1, 1, 1, 1, 1, 0, 1, 1, 1]"	"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"	"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"	"[4.022067200043239, 15.825386399985291, 17.025642900029197, 19.292605700087734, 20.092540099984035, 27.74272049998399, 44.66196519997902, 48.212002300075255, 68.72186809999403, 75.0282576000318]"																																																	22	01	2024-02-14_15h01.53.284	BART_trial	2023.2.3	119.90048273488365	2024-02-14 15h02.12.617585 +0100	
																																																															0			84.62484559998848	84.6320313999895	84.6320313999895	0.0004086000844836235	87.7412160000531	[0.6898148148148148]	[-0.412962962962963]	[1]	[0]	[0]	[3.115564599982463]																																			22	01	2024-02-14_15h01.53.284	BART_trial	2023.2.3	119.90048273488365	2024-02-14 15h02.12.617585 +0100	
balloon.png	127	0	0	0	4	87.79056889994536																																																																							87.74744569999166	87.79056889994536	87.79056889994536	87.79056889994536	87.79056889994536	87.79056889994536	0.008038299973122776	0.008038299973122776	0.008038299973122776	87.79056889994536	105.55168010003399	40	2.00	False	"[0.07222222222222222, 0.001851851851851852, 0.001851851851851852, 0.001851851851851852, 0.001851851851851852, 0.001851851851851852, 0.001851851851851852, 0.001851851851851852, 0.001851851851851852, 0.001851851851851852, 0.001851851851851852, 0.001851851851851852, 0.001851851851851852, 0.001851851851851852, 0.001851851851851852, 0.001851851851851852, 0.001851851851851852, 0.001851851851851852, 0.001851851851851852, 0.001851851851851852, 0.001851851851851852, 0.001851851851851852, 0.000925925925925926, 0.000925925925925926, 0.000925925925925926, 0.000925925925925926, 0.000925925925925926, 0.000925925925925926, 0.000925925925925926, 0.000925925925925926, 0.000925925925925926, 0.000925925925925926, 0.000925925925925926, 0.000925925925925926, 0.000925925925925926, 0.000925925925925926, 0.000925925925925926, 0.000925925925925926, 0.000925925925925926, 0.000925925925925926, 0.000925925925925926]"	"[-0.3861111111111111, -0.387037037037037, -0.387037037037037, -0.387037037037037, -0.387037037037037, -0.387037037037037, -0.387037037037037, -0.387037037037037, -0.387037037037037, -0.387037037037037, -0.387037037037037, -0.387037037037037, -0.387037037037037, -0.387037037037037, -0.387037037037037, -0.387037037037037, -0.387037037037037, -0.387037037037037, -0.387037037037037, -0.387037037037037, -0.387037037037037, -0.387037037037037, -0.387037037037037, -0.387037037037037, -0.387037037037037, -0.387037037037037, -0.387037037037037, -0.387037037037037, -0.387037037037037, -0.387037037037037, -0.387037037037037, -0.387037037037037, -0.387037037037037, -0.387037037037037, -0.387037037037037, -0.387037037037037, -0.387037037037037, -0.387037037037037, -0.387037037037037, -0.387037037037037, -0.387037037037037]"	"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0]"	"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"	"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"	"[2.2690906000789255, 4.2442502999911085, 5.110948899993673, 5.444365500006825, 5.619315900024958, 5.9858437000075355, 6.511042700032704, 6.911134300054982, 7.286101900041103, 7.6694506000494584, 8.044573900057003, 8.619490200071596, 8.994499500025995, 9.336083700065501, 9.727825400070287, 10.161136400070973, 10.55282250000164, 10.836339100031182, 11.019691299996339, 11.169538800022565, 11.33621530001983, 11.478059999994002, 11.64479679998476, 12.136283800005913, 12.28644230007194, 12.453167700092308, 13.236619799979962, 13.419869000092149, 13.594786899979226, 13.73645209998358, 13.894927500048652, 14.053250400000252, 14.511468200013041, 14.67840089998208, 14.844966000062414, 15.011630400083959, 15.203303300077096, 15.753196500008926, 16.853474500006996, 17.020091300015338, 17.803325099986978]"	40	"[2.2425365999806672, 4.21770280005876, 5.084400000050664, 5.417818499961868, 5.592759000021033, 5.959287600009702, 6.484495999990031, 6.884581499965861, 7.2595488000661135, 7.642894900054671, 8.018019999959506, 8.592940200003795, 8.967953499988653, 9.309526900062338, 9.701271999976598, 10.13458549999632, 10.52627080003731, 10.809786200057715, 10.993138200021349, 11.143009699997492, 11.30966739996802, 11.451502399984747, 11.618245700025, 12.109729400021024, 12.259882500045933, 12.426616200013086, 13.210062999976799, 13.393312099971808, 13.709906200063415, 13.86837599996943, 14.026694200001657, 14.484916300047189, 14.651850000023842, 14.818409800063819, 14.985074099968188, 15.176744000054896, 15.7266409000149, 16.82692590006627, 16.99353289999999, 17.776711100013927]"	"[2.6339037000434473, 4.875722900032997, 5.19242109998595, 5.48412310006097, 5.6674575000070035, 6.01759599999059, 6.567594700027257, 6.975920700002462, 7.359287200029939, 7.725931799970567, 8.109295699978247, 8.675988800008781, 9.026112999999896, 9.392720700008795, 9.784408200066537, 10.217777300043963, 10.617910400032997, 10.901175700011663, 11.067834599991329, 11.217858999967575, 11.376408400014043, 11.534525700029917, 11.692906999960542, 12.176239300053567, 12.342952299979515, 12.517954500042833, 13.30132109997794, 13.626402899972163, 13.768011300009675, 13.943034500000067, 14.118028600001708, 14.55973019998055, 14.73474400001578, 14.901438000029884, 15.059835999971256, 15.243137100012973, 15.784826599992812, 16.91826319997199, 17.06825090001803, 17.776715300045907]"	105.55346349999309	105.56681360001676	107.0586191000184									22	01	2024-02-14_15h01.53.284	BART_trial	2023.2.3	119.90048273488365	2024-02-14 15h02.12.617585 +0100	
balloon.png	33	0	1	1	1	107.07525530003477																																																																							107.05879389995243	107.07525530003477	107.07525530003477	107.07525530003477	107.07525530003477	107.07525530003477	0.006541399983689189	0.006541399983689189	0.006541399983689189	107.07525530003477	113.86930020002183	34	1.65	True	"[-0.001851851851851852, -0.001851851851851852, -0.001851851851851852, -0.001851851851851852, -0.001851851851851852, -0.001851851851851852, -0.001851851851851852, -0.001851851851851852, -0.001851851851851852, -0.001851851851851852, -0.001851851851851852, -0.001851851851851852, -0.001851851851851852, -0.001851851851851852, -0.001851851851851852, -0.001851851851851852, -0.001851851851851852, -0.001851851851851852, -0.001851851851851852, -0.001851851851851852, -0.001851851851851852, -0.001851851851851852, -0.001851851851851852, -0.001851851851851852, -0.001851851851851852, -0.001851851851851852, -0.001851851851851852, -0.001851851851851852, -0.001851851851851852, -0.001851851851851852, -0.001851851851851852, -0.001851851851851852, -0.001851851851851852, -0.001851851851851852]"	"[-0.38796296296296295, -0.38796296296296295, -0.38796296296296295, -0.38796296296296295, -0.38796296296296295, -0.38796296296296295, -0.38796296296296295, -0.38796296296296295, -0.38796296296296295, -0.38796296296296295, -0.38796296296296295, -0.38796296296296295, -0.38796296296296295, -0.38796296296296295, -0.38796296296296295, -0.38796296296296295, -0.38796296296296295, -0.38796296296296295, -0.38796296296296295, -0.38796296296296295, -0.38796296296296295, -0.38796296296296295, -0.38796296296296295, -0.38796296296296295, -0.38796296296296295, -0.38796296296296295, -0.38796296296296295, -0.38796296296296295, -0.38796296296296295, -0.38796296296296295, -0.38796296296296295, -0.38796296296296295, -0.38796296296296295, -0.38796296296296295]"	"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"	"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"	"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"	"[0.9687945999903604, 1.2923535000300035, 1.4923922000452876, 1.6672892000060529, 1.8339784999843687, 1.9922696000430733, 2.1591199999675155, 2.317509699962102, 2.4841132999863476, 2.6589909000322223, 2.8256365000270307, 2.9924438999732956, 3.1509423999814317, 3.3175339000299573, 3.4758164000231773, 3.6439095999812707, 3.8174259000224993, 3.992447500000708, 4.159240700071678, 4.325927300029434, 4.484107500058599, 4.6507782000117, 4.8008005999727175, 4.95936310000252, 5.125970100052655, 5.292629400035366, 5.4843496000394225, 5.667503600008786, 5.851041299989447, 6.042554200044833, 6.1925496000330895, 6.367766399984248, 6.542740600067191, 6.726145099964924]"	34	"[0.9632915999973193, 1.2866763999918476, 1.4867232999531552, 1.6616167000029236, 1.8283002999378368, 1.986595100024715, 2.1534423999255523, 2.311841299990192, 2.478440699982457, 2.6533119999803603, 2.81995769997593, 2.986780699924566, 3.145271399989724, 3.3118595000123605, 3.4701372999697924, 3.638379800016992, 3.8117530000163242, 3.9867706999648362, 4.153567499946803, 4.320261399960145, 4.478431299910881, 4.645100199966691, 4.795128799974918, 4.9536885999841616, 5.120294599910267, 5.286954200011678, 5.478671699995175, 5.661826399969868, 5.8453662999672815, 6.036881399923004, 6.186876100022346, 6.362091299961321, 6.537068699952215, 6.720468599931337]"	"[1.044716199976392, 1.369738299981691, 1.5530898999422789, 1.711416699923575, 1.8780843999702483, 2.0614675999386236, 2.2281266999198124, 2.3864565999247134, 2.5616010000230744, 2.7364998999983072, 2.886490299948491, 3.0627205999335274, 3.2281915999483317, 3.386640299926512, 3.5616204999387264, 3.7365553999552503, 3.9034564999165013, 4.061603399924934, 4.244916699943133, 4.394923800020479, 4.553313900018111, 4.711626200005412, 4.870072299963795, 5.036639199941419, 5.228364399983548, 5.386710199993104, 5.553348799934611, 5.7368400999112055, 5.911928399931639, 6.086725699948147, 6.253390999976546, 6.445067699998617, 6.61191949993372, 6.7951104999519885]"	113.87047439999878	113.88406449998729	115.37594319996424									22	01	2024-02-14_15h01.53.284	BART_trial	2023.2.3	119.90048273488365	2024-02-14 15h02.12.617585 +0100	
balloon.png	1	0	2	2	0	115.39250790001824																																																																							115.37612769997213	115.39250790001824	115.39250790001824	115.39250790001824	115.39250790001824	115.39250790001824	0.007032399997115135	0.007032399997115135	0.007032399997115135	115.39250790001824	116.36958059994504	2	0.05	True	"[-0.004629629629629629, -0.004629629629629629]"	"[-0.3925925925925926, -0.3925925925925926]"	"[1, 1]"	"[0, 0]"	"[0, 0]"	"[0.6672441000118852, 0.9254201001022011]"	2	"[0.6593599999323487, 0.9175168999936432]"	"[0.7506731000030413, 0.9756641000276431]"	116.37017520004883	116.37590490002185	117.86787219997495	117.88433859997895								22	01	2024-02-14_15h01.53.284	BART_trial	2023.2.3	119.90048273488365	2024-02-14 15h02.12.617585 +0100	
balloon.png	64	0	3	3	2	117.88433859997895																																																																							117.86804680002388	117.88433859997895	117.88433859997895	117.88433859997895	117.88433859997895	117.88433859997895	-0.0008651000680401921	-0.0008651000680401921	-0.0008651000680401921	117.88433859997895	124.5200274999952	20	1.00	False	"[-0.004629629629629629, -0.004629629629629629, -0.004629629629629629, -0.004629629629629629, -0.004629629629629629, -0.004629629629629629, -0.004629629629629629, -0.004629629629629629, -0.004629629629629629, -0.004629629629629629, -0.004629629629629629, -0.004629629629629629, -0.004629629629629629, -0.004629629629629629, -0.004629629629629629, -0.004629629629629629, -0.004629629629629629, -0.004629629629629629, -0.004629629629629629, -0.004629629629629629, -0.004629629629629629]"	"[-0.3925925925925926, -0.3925925925925926, -0.3925925925925926, -0.3925925925925926, -0.3925925925925926, -0.3925925925925926, -0.3925925925925926, -0.3925925925925926, -0.3925925925925926, -0.3925925925925926, -0.3925925925925926, -0.3925925925925926, -0.3925925925925926, -0.3925925925925926, -0.3925925925925926, -0.3925925925925926, -0.3925925925925926, -0.3925925925925926, -0.3925925925925926, -0.3925925925925926, -0.3925925925925926]"	"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0]"	"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"	"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"	"[0.35048569994978607, 0.783674499951303, 0.9503715999890119, 1.108954899944365, 1.2589462000178173, 1.4254059999948367, 1.5921010000165552, 1.7422345000086352, 1.909044099971652, 2.44242179999128, 2.592173899989575, 2.759041100041941, 2.9340273999841884, 3.0923861999763176, 3.4089035999495536, 3.8255801999475807, 4.225604400038719, 4.942478299955837, 5.859304500045255, 6.11758760001976, 6.651098400005139]"	21	"[0.34438470005989075, 0.7775673000141978, 0.9442661000648513, 1.102854200056754, 1.2528804000467062, 1.4193006000714377, 1.5860020000254735, 1.7361289000837132, 1.9029411000665277, 2.436320700100623, 2.586068900069222, 2.752943000057712, 2.927926800097339, 3.0862857000902295, 3.402797600021586, 3.8194757000310346, 4.2195045000407845, 4.936378100072034, 5.853199800010771, 6.111487700021826, 6.644933700095862]"	"[0.4107742999913171, 0.8357479000696912, 1.010774200083688, 1.1691150000551715, 1.327468300005421, 1.4775920000392944, 1.6538996000308543, 1.8108797000022605, 1.9858986000763252, 2.4942140000639483, 2.6525985000189394, 2.8192858000984415, 2.9859445000765845, 3.1692699000705034, 3.4707210999913514, 3.85294720006641, 4.286092400085181, 5.002732400083914, 5.936120100086555, 6.194491800037213, 6.644937900011428]"	124.52133490005508	124.53480200003833	126.02661990001798									22	01	2024-02-14_15h01.53.284	BART_trial	2023.2.3	119.90048273488365	2024-02-14 15h02.12.617585 +0100	
balloon.png	96	0	4	4	3	126.04324649996124																																																																							126.02679949998856	126.04324649996124	126.04324649996124	126.04324649996124	126.04324649996124	126.04324649996124	0.006680699996650219	0.006680699996650219	0.006680699996650219	126.04324649996124	135.17900410003494	40	2.00	False	"[-0.004629629629629629, -0.004629629629629629, -0.004629629629629629, -0.004629629629629629, -0.004629629629629629, -0.004629629629629629, -0.004629629629629629, -0.004629629629629629, -0.004629629629629629, -0.004629629629629629, -0.004629629629629629, -0.004629629629629629, -0.004629629629629629, -0.004629629629629629, -0.004629629629629629, -0.004629629629629629, -0.004629629629629629, -0.004629629629629629, -0.004629629629629629, -0.004629629629629629, -0.004629629629629629, -0.004629629629629629, -0.004629629629629629, -0.004629629629629629, -0.004629629629629629, -0.004629629629629629, -0.004629629629629629, -0.004629629629629629, -0.004629629629629629, -0.004629629629629629, -0.004629629629629629, -0.004629629629629629, -0.004629629629629629, -0.004629629629629629, -0.004629629629629629, -0.004629629629629629, -0.004629629629629629, -0.004629629629629629, -0.004629629629629629, -0.004629629629629629, -0.004629629629629629]"	"[-0.3925925925925926, -0.3925925925925926, -0.3925925925925926, -0.3925925925925926, -0.3925925925925926, -0.3925925925925926, -0.3925925925925926, -0.3925925925925926, -0.3925925925925926, -0.3925925925925926, -0.3925925925925926, -0.3925925925925926, -0.3925925925925926, -0.3925925925925926, -0.3925925925925926, -0.3925925925925926, -0.3925925925925926, -0.3925925925925926, -0.3925925925925926, -0.3925925925925926, -0.3925925925925926, -0.3925925925925926, -0.3925925925925926, -0.3925925925925926, -0.3925925925925926, -0.3925925925925926, -0.3925925925925926, -0.3925925925925926, -0.3925925925925926, -0.3925925925925926, -0.3925925925925926, -0.3925925925925926, -0.3925925925925926, -0.3925925925925926, -0.3925925925925926, -0.3925925925925926, -0.3925925925925926, -0.3925925925925926, -0.3925925925925926, -0.3925925925925926, -0.3925925925925926]"	"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0]"	"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"	"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"	"[0.6588805000064895, 0.8171421999577433, 1.0089487999211997, 1.1674335999414325, 1.3423548999708146, 1.4924010999966413, 1.6672441000118852, 1.833883799961768, 2.008909899974242, 2.208955999929458, 2.3924450000049546, 2.5757692999904975, 2.759153899969533, 2.959129499970004, 3.1506847999989986, 3.3341621999861673, 3.517519999993965, 3.7092471999349073, 3.917526299948804, 4.134211799944751, 4.342709899996407, 4.5342532999347895, 4.734452000004239, 4.942600199952722, 5.1344430999597535, 5.326002200017683, 5.509303099941462, 5.709357499959879, 5.901084400014952, 6.10117799998261, 6.2843927999492735, 6.751077399938367, 6.926073599955998, 7.10943720000796, 7.2760993000119925, 7.450949999969453, 7.867785300011747, 8.026026699924842, 8.20118650002405, 8.717942800023593, 9.151261699968018]"	41	"[0.6512922999681905, 0.8095493000000715, 1.0013620000099763, 1.159847000031732, 1.3347640000283718, 1.4848059000214562, 1.6596585999941453, 1.826293700025417, 2.001319200033322, 2.2013701000250876, 2.38485779997427, 2.5681792999384925, 2.751562000019476, 2.9515371000161394, 3.143097599968314, 3.326567900017835, 3.509931999957189, 3.701659100013785, 3.909937600023113, 4.126617999980226, 4.33511769992765, 4.5266609999816865, 4.726859299931675, 4.935012700036168, 5.126875399961136, 5.318410799955018, 5.501711199991405, 5.7017714999383315, 5.8935008000116795, 6.093589299940504, 6.276798499980941, 6.743484899983741, 6.918485200032592, 7.101853000000119, 7.268505399930291, 7.443359000026248, 7.860202900017612, 8.01843309996184, 8.193597699981183, 8.710347799933515, 9.143612699932419]"	"[0.7025057999417186, 0.8677738999249414, 1.0513644999591634, 1.234449699986726, 1.401141899987124, 1.56779529992491, 1.726131199975498, 1.9011883999919519, 2.0679064999567345, 2.259528100024909, 2.4512162000173703, 2.651226899935864, 2.8429681999841705, 3.0262349999975413, 3.2012306000106037, 3.3846020000055432, 3.5929489999543875, 3.7764116999460384, 4.009628799976781, 4.2179681999841705, 4.418046899954788, 4.609922699979506, 4.809686499997042, 5.018126199953258, 5.21805799996946, 5.409889200003818, 5.601401199935935, 5.784763499977998, 5.984853000030853, 6.176469599944539, 6.359806300024502, 6.851584499934688, 7.009838499943726, 7.186196799972095, 7.343195099965669, 7.518297699978575, 7.926577499951236, 8.09333709999919, 8.251607200014405, 8.768470500013791, 9.143616799963638]"	135.18044070003089	135.1855545999715	136.67755320004653	136.68565440003294								22	01	2024-02-14_15h01.53.284	BART_trial	2023.2.3	119.90048273488365	2024-02-14 15h02.12.617585 +0100	
																																																																																																								136.67758939997293	136.68565440003294	136.68565440003294	143.31157879997045	space	6.625363999977708	None	22	01	2024-02-14_15h01.53.284	BART_trial	2023.2.3	119.90048273488365	2024-02-14 15h02.12.617585 +0100	
