diceImage	d_number	dice_loop.thisRepN	dice_loop.thisTrialN	dice_loop.thisN	dice_loop.thisIndex	thisRow.t	notes	Start.started	text_start.started	continue_start.started	mouse_start.started	Start.stopped	mouse_start.x	mouse_start.y	mouse_start.leftButton	mouse_start.midButton	mouse_start.rightButton	mouse_start.time	trial.started	box_dice.started	text_dice_header.started	text_gain.started	value_gain.started	text_bank.started	value_bank.started	img_dice_1.started	img_dice_2.started	img_dice_3.started	img_dice_4.started	img_dice_5.started	img_dice_6.started	img_dice_1_2.started	img_dice_3_4.started	img_dice_5_6.started	img_dice_1_2_3.started	img_dice_4_5_6.started	img_dice_1_2_3_4.started	img_dice_2_3_4_5.started	img_dice_3_4_5_6.started	text_value_header.started	text_value_1000.started	text_value_500.started	text_value_200.started	text_value_100.started	mouse_task.started	loss_sound.started	img_dice_throw_trials.started	img_dice_throw_trials.stopped	trial.stopped	mouse_task.x	mouse_task.y	mouse_task.leftButton	mouse_task.midButton	mouse_task.rightButton	mouse_task.time	choice	gain	gain_sound.started	gain_sound.stopped	End.started	text_end.started	key_end.started	End.stopped	key_end.keys	key_end.rt	key_end.duration	participant	session	date	expName	psychopyVersion	frameRate	expStart	
								0.051702799974009395	0.05622479994781315	0.05622479994781315	0.05203199991956353	22.176181899849325	[0.687037037037037]	[-0.3962962962962963]	[1]	[0]	[0]	[22.12348180008121]																																																	37	02	2024-03-06_09h54.25.271	GDT_exp	2023.2.3	122.16605298166172	2024-03-06 09h54.35.942176 +0100	
dice_3.png	3	0	0	0	2	22.25419949996285													22.18159609986469	22.25419949996285	22.25419949996285	22.25419949996285	22.25419949996285	22.25419949996285	22.25419949996285	22.25419949996285	22.25419949996285	22.25419949996285	22.25419949996285	22.25419949996285	22.25419949996285	22.25419949996285	22.25419949996285	22.25419949996285	22.25419949996285	22.25419949996285	22.25419949996285	22.25419949996285	22.25419949996285	22.25419949996285	22.25419949996285	22.25419949996285	22.25419949996285	22.25419949996285	0.023444099817425013	10.274360799929127	32.506028699921444	34.0568925999105	34.02498699980788	"[-0.08425925925925926, -0.08703703703703704]"	"[-0.2564814814814815, -0.15092592592592594]"	"[1, 0]"	"[0, 0]"	"[0, 1]"	"[8.682734500151128, 10.21569240000099]"	3	-200										37	02	2024-03-06_09h54.25.271	GDT_exp	2023.2.3	122.16605298166172	2024-03-06 09h54.35.942176 +0100	
dice_5.png	5	0	1	1	4	34.0568925999105													34.02579949982464	34.0568925999105	34.0568925999105	34.0568925999105	34.0568925999105	34.0568925999105	34.0568925999105	34.0568925999105	34.0568925999105	34.0568925999105	34.0568925999105	34.0568925999105	34.0568925999105	34.0568925999105	34.0568925999105	34.0568925999105	34.0568925999105	34.0568925999105	34.0568925999105	34.0568925999105	34.0568925999105	34.0568925999105	34.0568925999105	34.0568925999105	34.0568925999105	34.0568925999105	0.011797199957072735		35.73329019988887	37.28723169979639	37.25905089988373	"[-0.10555555555555556, -0.10462962962962963]"	"[-0.2518518518518518, -0.15833333333333333]"	"[1, 0]"	"[0, 0]"	"[0, 1]"	"[0.8580918998923153, 1.638916099909693]"	3	200	1.650916000129655	3.152540000155568								37	02	2024-03-06_09h54.25.271	GDT_exp	2023.2.3	122.16605298166172	2024-03-06 09h54.35.942176 +0100	
dice_2.png	2	0	2	2	1	37.28723169979639													37.25987139996141	37.28723169979639	37.28723169979639	37.28723169979639	37.28723169979639	37.28723169979639	37.28723169979639	37.28723169979639	37.28723169979639	37.28723169979639	37.28723169979639	37.28723169979639	37.28723169979639	37.28723169979639	37.28723169979639	37.28723169979639	37.28723169979639	37.28723169979639	37.28723169979639	37.28723169979639	37.28723169979639	37.28723169979639	37.28723169979639	37.28723169979639	37.28723169979639	37.28723169979639	0.008782600052654743	2.220959300175309	39.5344956999179	41.08187929983251	41.053763299947605	"[-0.10555555555555556, -0.11574074074074074]"	"[-0.2564814814814815, -0.14814814814814814]"	"[1, 0]"	"[0, 0]"	"[0, 1]"	"[1.6927945001516491, 2.211914300220087]"	3	-200										37	02	2024-03-06_09h54.25.271	GDT_exp	2023.2.3	122.16605298166172	2024-03-06 09h54.35.942176 +0100	
dice_1.png	1	0	3	3	0	41.08187929983251													41.05441719992086	41.08187929983251	41.08187929983251	41.08187929983251	41.08187929983251	41.08187929983251	41.08187929983251	41.08187929983251	41.08187929983251	41.08187929983251	41.08187929983251	41.08187929983251	41.08187929983251	41.08187929983251	41.08187929983251	41.08187929983251	41.08187929983251	41.08187929983251	41.08187929983251	41.08187929983251	41.08187929983251	41.08187929983251	41.08187929983251	41.08187929983251	41.08187929983251	41.08187929983251	0.009039700031280518	1.0488834001589566	42.15816119988449	43.716083499835804	43.68375550000928	"[-0.10925925925925926, -0.10185185185185185]"	"[-0.24259259259259258, -0.14907407407407408]"	"[1, 0]"	"[0, 0]"	"[0, 1]"	"[0.6681317000184208, 1.0396900998894125]"	3	-200										37	02	2024-03-06_09h54.25.271	GDT_exp	2023.2.3	122.16605298166172	2024-03-06 09h54.35.942176 +0100	
dice_4.png	4	0	4	4	3	43.716083499835804													43.68437709985301	43.716083499835804	43.716083499835804	43.716083499835804	43.716083499835804	43.716083499835804	43.716083499835804	43.716083499835804	43.716083499835804	43.716083499835804	43.716083499835804	43.716083499835804	43.716083499835804	43.716083499835804	43.716083499835804	43.716083499835804	43.716083499835804	43.716083499835804	43.716083499835804	43.716083499835804	43.716083499835804	43.716083499835804	43.716083499835804	43.716083499835804	43.716083499835804	43.716083499835804	0.012481800047680736		44.837974099908024	46.38429099996574	46.3542353999801	"[-0.09259259259259259, -0.10833333333333334]"	"[-0.2351851851851852, -0.13240740740740742]"	"[1, 0]"	"[0, 0]"	"[0, 1]"	"[0.6867165002040565, 1.0851212001871318]"	3	200	1.0978282999712974	2.6144507999997586								37	02	2024-03-06_09h54.25.271	GDT_exp	2023.2.3	122.16605298166172	2024-03-06 09h54.35.942176 +0100	
dice_6.png	6	0	5	5	5	46.38429099996574													46.35482000000775	46.38429099996574	46.38429099996574	46.38429099996574	46.38429099996574	46.38429099996574	46.38429099996574	46.38429099996574	46.38429099996574	46.38429099996574	46.38429099996574	46.38429099996574	46.38429099996574	46.38429099996574	46.38429099996574	46.38429099996574	46.38429099996574	46.38429099996574	46.38429099996574	46.38429099996574	46.38429099996574	46.38429099996574	46.38429099996574	46.38429099996574	46.38429099996574	46.38429099996574	0.009981699986383319		47.56132759992033	49.09794049989432	49.064944699872285	"[-0.09351851851851851, -0.08981481481481482]"	"[-0.2361111111111111, -0.15833333333333333]"	"[1, 0]"	"[0, 0]"	"[0, 1]"	"[0.6870695000980049, 1.1405450000893325]"	3	200	1.1507499001454562	2.651229599956423								37	02	2024-03-06_09h54.25.271	GDT_exp	2023.2.3	122.16605298166172	2024-03-06 09h54.35.942176 +0100	
dice_1.png	1	1	0	6	0	49.09794049989432													49.06548419990577	49.09794049989432	49.09794049989432	49.09794049989432	49.09794049989432	49.09794049989432	49.09794049989432	49.09794049989432	49.09794049989432	49.09794049989432	49.09794049989432	49.09794049989432	49.09794049989432	49.09794049989432	49.09794049989432	49.09794049989432	49.09794049989432	49.09794049989432	49.09794049989432	49.09794049989432	49.09794049989432	49.09794049989432	49.09794049989432	49.09794049989432	49.09794049989432	49.09794049989432	0.012412100099027157	5.02089330018498	54.14581239991821	55.68340799980797	55.65259249997325	"[-0.09444444444444444, -0.1037037037037037]"	"[-0.25092592592592594, -0.17407407407407408]"	"[1, 0]"	"[0, 0]"	"[0, 1]"	"[4.491867099888623, 5.008277299813926]"	3	-200										37	02	2024-03-06_09h54.25.271	GDT_exp	2023.2.3	122.16605298166172	2024-03-06 09h54.35.942176 +0100	
dice_2.png	2	1	1	7	1	55.68340799980797													55.65319949993864	55.68340799980797	55.68340799980797	55.68340799980797	55.68340799980797	55.68340799980797	55.68340799980797	55.68340799980797	55.68340799980797	55.68340799980797	55.68340799980797	55.68340799980797	55.68340799980797	55.68340799980797	55.68340799980797	55.68340799980797	55.68340799980797	55.68340799980797	55.68340799980797	55.68340799980797	55.68340799980797	55.68340799980797	55.68340799980797	55.68340799980797	55.68340799980797	55.68340799980797	0.010662500048056245	0.9738054000772536	56.68565130000934	58.23359329998493	58.20376949990168	"[-0.09074074074074075, -0.10462962962962963]"	"[-0.2574074074074074, -0.1675925925925926]"	"[1, 0]"	"[0, 0]"	"[0, 1]"	"[0.520887500140816, 0.9626984000205994]"	3	-200										37	02	2024-03-06_09h54.25.271	GDT_exp	2023.2.3	122.16605298166172	2024-03-06 09h54.35.942176 +0100	
dice_4.png	4	1	2	8	3	58.23359329998493													58.204357099952176	58.23359329998493	58.23359329998493	58.23359329998493	58.23359329998493	58.23359329998493	58.23359329998493	58.23359329998493	58.23359329998493	58.23359329998493	58.23359329998493	58.23359329998493	58.23359329998493	58.23359329998493	58.23359329998493	58.23359329998493	58.23359329998493	58.23359329998493	58.23359329998493	58.23359329998493	58.23359329998493	58.23359329998493	58.23359329998493	58.23359329998493	58.23359329998493	58.23359329998493	0.009728699922561646		59.5292621999979	61.08460109983571	61.054877599934116	"[-0.10555555555555556, -0.10555555555555556]"	"[-0.25, -0.175]"	"[1, 0]"	"[0, 0]"	"[0, 1]"	"[0.626601500203833, 1.2568358001299202]"	3	200	1.2667135000228882	2.7902414000127465								37	02	2024-03-06_09h54.25.271	GDT_exp	2023.2.3	122.16605298166172	2024-03-06 09h54.35.942176 +0100	
