"diceImage"	"d_number"	"dice_loop.thisRepN"	"dice_loop.thisTrialN"	"dice_loop.thisN"	"dice_loop.thisIndex"	"thisRow.t"	"notes"	"Start.started"	"text_start.started"	"continue_start.started"	"mouse_start.started"	"Start.stopped"	"mouse_start.x"	"mouse_start.y"	"mouse_start.leftButton"	"mouse_start.midButton"	"mouse_start.rightButton"	"mouse_start.time"	"trial.started"	"box_dice.started"	"text_dice_header.started"	"text_gain.started"	"value_gain.started"	"text_bank.started"	"value_bank.started"	"img_dice_1.started"	"img_dice_2.started"	"img_dice_3.started"	"img_dice_4.started"	"img_dice_5.started"	"img_dice_6.started"	"img_dice_1_2.started"	"img_dice_3_4.started"	"img_dice_5_6.started"	"img_dice_1_2_3.started"	"img_dice_4_5_6.started"	"img_dice_1_2_3_4.started"	"img_dice_2_3_4_5.started"	"img_dice_3_4_5_6.started"	"text_value_header.started"	"text_value_1000.started"	"text_value_500.started"	"text_value_200.started"	"text_value_100.started"	"mouse_task.started"	"loss_sound.started"	"img_dice_throw_trials.started"	"img_dice_throw_trials.stopped"	"trial.stopped"	"mouse_task.x"	"mouse_task.y"	"mouse_task.leftButton"	"mouse_task.midButton"	"mouse_task.rightButton"	"mouse_task.time"	"choice"	"gain"	"gain_sound.started"	"gain_sound.stopped"	"End.started"	"text_end.started"	"key_end.started"	"End.stopped"	"key_end.keys"	"key_end.rt"	"key_end.duration"	"participant"	"session"	"date"	"expName"	"psychopyVersion"	"frameRate"	"expStart"	"...75"
NA	NA	NA	NA	NA	NA	NA	NA	0.0480549000203609	0.059702800004743	0.059702800004743	0.0484013999812305	15.2862434999552	"[0.7129629629629629]"	"[-0.3962962962962963]"	"[1]"	"[0]"	"[0]"	"[15.237235900014639]"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20	"03"	"2024-02-14_11h52.31.979"	"GDT_exp"	"2023.2.3"	119.975572843238	"2024-02-14 11h52.47.772308 +0100"	NA
"dice_6.png"	6	0	0	0	5	15.3774209000403	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15.2911751000211	15.3774209000403	15.3774209000403	15.3774209000403	15.3774209000403	15.3774209000403	15.3774209000403	15.3774209000403	15.3774209000403	15.3774209000403	15.3774209000403	15.3774209000403	15.3774209000403	15.3774209000403	15.3774209000403	15.3774209000403	15.3774209000403	15.3774209000403	15.3774209000403	15.3774209000403	15.3774209000403	15.3774209000403	15.3774209000403	15.3774209000403	15.3774209000403	15.3774209000403	0.0238963000010699	2.42465960001573	17.7775750999572	19.3528462999966	19.3052368999925	"[-0.25555555555555554, -0.25555555555555554, -0.25555555555555554]"	"[-0.35555555555555557, -0.35462962962962963, -0.35462962962962963]"	"[1, 0, 1]"	"[0, 0, 0]"	"[0, 1, 0]"	"[1.6880597000708804, 2.3631420000456274, 3.513326100073755]"	4	-100	NA	NA	NA	NA	NA	NA	NA	NA	NA	20	"03"	"2024-02-14_11h52.31.979"	"GDT_exp"	"2023.2.3"	119.975572843238	"2024-02-14 11h52.47.772308 +0100"	NA
"dice_3.png"	3	0	1	1	2	19.3528462999966	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	19.3060360000236	19.3528462999966	19.3528462999966	19.3528462999966	19.3528462999966	19.3528462999966	19.3528462999966	19.3528462999966	19.3528462999966	19.3528462999966	19.3528462999966	19.3528462999966	19.3528462999966	19.3528462999966	19.3528462999966	19.3528462999966	19.3528462999966	19.3528462999966	19.3528462999966	19.3528462999966	19.3528462999966	19.3528462999966	19.3528462999966	19.3528462999966	19.3528462999966	19.3528462999966	0.018608900019899	NA	20.1612261999398	21.7278811000288	21.6888012000127	"[-0.25555555555555554, -0.25555555555555554]"	"[-0.35462962962962963, -0.35462962962962963]"	"[1, 0]"	"[0, 0]"	"[0, 1]"	"[0.17784280003979802, 0.7695265000220388]"	4	100	0.788516900036484	2.32199750002474	NA	NA	NA	NA	NA	NA	NA	20	"03"	"2024-02-14_11h52.31.979"	"GDT_exp"	"2023.2.3"	119.975572843238	"2024-02-14 11h52.47.772308 +0100"	NA
"dice_4.png"	4	0	2	2	3	21.7278811000288	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21.6893441999564	21.7278811000288	21.7278811000288	21.7278811000288	21.7278811000288	21.7278811000288	21.7278811000288	21.7278811000288	21.7278811000288	21.7278811000288	21.7278811000288	21.7278811000288	21.7278811000288	21.7278811000288	21.7278811000288	21.7278811000288	21.7278811000288	21.7278811000288	21.7278811000288	21.7278811000288	21.7278811000288	21.7278811000288	21.7278811000288	21.7278811000288	21.7278811000288	21.7278811000288	0.014913700055331	NA	23.0197492999723	24.5697475000052	24.5303415999515	"[-0.25277777777777777, -0.25277777777777777]"	"[-0.35185185185185186, -0.35185185185185186]"	"[1, 0]"	"[0, 0]"	"[0, 1]"	"[0.8068153000203893, 1.248473700019531]"	4	100	1.2637385999551	2.78070500004105	NA	NA	NA	NA	NA	NA	NA	20	"03"	"2024-02-14_11h52.31.979"	"GDT_exp"	"2023.2.3"	119.975572843238	"2024-02-14 11h52.47.772308 +0100"	NA
"dice_2.png"	2	0	3	3	1	24.5697475000052	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	24.5308662999887	24.5697475000052	24.5697475000052	24.5697475000052	24.5697475000052	24.5697475000052	24.5697475000052	24.5697475000052	24.5697475000052	24.5697475000052	24.5697475000052	24.5697475000052	24.5697475000052	24.5697475000052	24.5697475000052	24.5697475000052	24.5697475000052	24.5697475000052	24.5697475000052	24.5697475000052	24.5697475000052	24.5697475000052	24.5697475000052	24.5697475000052	24.5697475000052	24.5697475000052	0.0145099000073969	NA	25.9449667999288	27.5199574999278	27.4727155000437	"[-0.25277777777777777, -0.25277777777777777]"	"[-0.35185185185185186, -0.35185185185185186]"	"[1, 0]"	"[0, 0]"	"[0, 1]"	"[0.6160140000283718, 1.332544600008987]"	4	100	1.3474203000078	2.84774150000885	NA	NA	NA	NA	NA	NA	NA	20	"03"	"2024-02-14_11h52.31.979"	"GDT_exp"	"2023.2.3"	119.975572843238	"2024-02-14 11h52.47.772308 +0100"	NA
"dice_1.png"	1	0	4	4	0	27.5199574999278	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	27.4732951000333	27.5199574999278	27.5199574999278	27.5199574999278	27.5199574999278	27.5199574999278	27.5199574999278	27.5199574999278	27.5199574999278	27.5199574999278	27.5199574999278	27.5199574999278	27.5199574999278	27.5199574999278	27.5199574999278	27.5199574999278	27.5199574999278	27.5199574999278	27.5199574999278	27.5199574999278	27.5199574999278	27.5199574999278	27.5199574999278	27.5199574999278	27.5199574999278	27.5199574999278	0.0179369000252336	1.01355469995178	28.5616718999809	30.1284502999624	30.0890367999673	"[0.026851851851851852, 0.026851851851851852, 0.024074074074074074]"	"[-0.36574074074074076, -0.36574074074074076, -0.3527777777777778]"	"[1, 0, 1]"	"[0, 0, 0]"	"[0, 1, 0]"	"[0.5287031000480056, 0.9953585000475869, 2.279181000078097]"	4	-100	NA	NA	NA	NA	NA	NA	NA	NA	NA	20	"03"	"2024-02-14_11h52.31.979"	"GDT_exp"	"2023.2.3"	119.975572843238	"2024-02-14 11h52.47.772308 +0100"	NA
"dice_5.png"	5	0	5	5	4	30.1284502999624	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	30.0896238000132	30.1284502999624	30.1284502999624	30.1284502999624	30.1284502999624	30.1284502999624	30.1284502999624	30.1284502999624	30.1284502999624	30.1284502999624	30.1284502999624	30.1284502999624	30.1284502999624	30.1284502999624	30.1284502999624	30.1284502999624	30.1284502999624	30.1284502999624	30.1284502999624	30.1284502999624	30.1284502999624	30.1284502999624	30.1284502999624	30.1284502999624	30.1284502999624	30.1284502999624	0.0144683999242261	NA	31.0367630999535	32.5869565999601	32.547980900039	"[0.024074074074074074, 0.024074074074074074]"	"[-0.3527777777777778, -0.3527777777777778]"	"[1, 0]"	"[0, 0]"	"[0, 1]"	"[0.40763519995380193, 0.8660291999112815]"	4	100	0.880728699965402	2.39754329994321	NA	NA	NA	NA	NA	NA	NA	20	"03"	"2024-02-14_11h52.31.979"	"GDT_exp"	"2023.2.3"	119.975572843238	"2024-02-14 11h52.47.772308 +0100"	NA
"dice_6.png"	6	1	0	6	5	32.5869565999601	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	32.548511800007	32.5869565999601	32.5869565999601	32.5869565999601	32.5869565999601	32.5869565999601	32.5869565999601	32.5869565999601	32.5869565999601	32.5869565999601	32.5869565999601	32.5869565999601	32.5869565999601	32.5869565999601	32.5869565999601	32.5869565999601	32.5869565999601	32.5869565999601	32.5869565999601	32.5869565999601	32.5869565999601	32.5869565999601	32.5869565999601	32.5869565999601	32.5869565999601	32.5869565999601	0.0149911999469623	NA	33.8703912999481	35.4289644999662	35.3811221999349	"[0.024074074074074074, 0.024074074074074074]"	"[-0.3509259259259259, -0.3509259259259259]"	"[1, 0]"	"[0, 0]"	"[0, 1]"	"[0.8150716000236571, 1.2400754999835044]"	4	100	1.25533730001189	2.76382789993659	NA	NA	NA	NA	NA	NA	NA	20	"03"	"2024-02-14_11h52.31.979"	"GDT_exp"	"2023.2.3"	119.975572843238	"2024-02-14 11h52.47.772308 +0100"	NA
"dice_4.png"	4	1	1	7	3	35.4289644999662	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	35.3816717999289	35.4289644999662	35.4289644999662	35.4289644999662	35.4289644999662	35.4289644999662	35.4289644999662	35.4289644999662	35.4289644999662	35.4289644999662	35.4289644999662	35.4289644999662	35.4289644999662	35.4289644999662	35.4289644999662	35.4289644999662	35.4289644999662	35.4289644999662	35.4289644999662	35.4289644999662	35.4289644999662	35.4289644999662	35.4289644999662	35.4289644999662	35.4289644999662	35.4289644999662	0.0176513000624254	NA	36.4622281999327	38.0290158999851	37.9819488000358	"[0.024074074074074074, 0.024074074074074074]"	"[-0.3509259259259259, -0.3509259259259259]"	"[1, 0]"	"[0, 0]"	"[0, 1]"	"[0.51294229994528, 0.9877941999584436]"	4	100	1.0056912000291	2.53085139999166	NA	NA	NA	NA	NA	NA	NA	20	"03"	"2024-02-14_11h52.31.979"	"GDT_exp"	"2023.2.3"	119.975572843238	"2024-02-14 11h52.47.772308 +0100"	NA
"dice_3.png"	3	1	2	8	2	38.0290158999851	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	37.9825611000415	38.0290158999851	38.0290158999851	38.0290158999851	38.0290158999851	38.0290158999851	38.0290158999851	38.0290158999851	38.0290158999851	38.0290158999851	38.0290158999851	38.0290158999851	38.0290158999851	38.0290158999851	38.0290158999851	38.0290158999851	38.0290158999851	38.0290158999851	38.0290158999851	38.0290158999851	38.0290158999851	38.0290158999851	38.0290158999851	38.0290158999851	38.0290158999851	38.0290158999851	0.0179813998984173	NA	38.8123967000283	40.3791696999688	40.3315876999404	"[-0.5703703703703704, -0.5703703703703704]"	"[-0.3416666666666667, -0.3416666666666667]"	"[1, 0]"	"[0, 0]"	"[0, 1]"	"[0.17036360001657158, 0.7368233000161126]"	4	100	0.755068499944173	2.25527149997652	NA	NA	NA	NA	NA	NA	NA	20	"03"	"2024-02-14_11h52.31.979"	"GDT_exp"	"2023.2.3"	119.975572843238	"2024-02-14 11h52.47.772308 +0100"	NA
