"diceImage"	"d_number"	"dice_loop.thisRepN"	"dice_loop.thisTrialN"	"dice_loop.thisN"	"dice_loop.thisIndex"	"thisRow.t"	"notes"	"Start.started"	"text_start.started"	"continue_start.started"	"mouse_start.started"	"Start.stopped"	"mouse_start.x"	"mouse_start.y"	"mouse_start.leftButton"	"mouse_start.midButton"	"mouse_start.rightButton"	"mouse_start.time"	"trial.started"	"box_dice.started"	"text_dice_header.started"	"text_gain.started"	"value_gain.started"	"text_bank.started"	"value_bank.started"	"img_dice_1.started"	"img_dice_2.started"	"img_dice_3.started"	"img_dice_4.started"	"img_dice_5.started"	"img_dice_6.started"	"img_dice_1_2.started"	"img_dice_3_4.started"	"img_dice_5_6.started"	"img_dice_1_2_3.started"	"img_dice_4_5_6.started"	"img_dice_1_2_3_4.started"	"img_dice_2_3_4_5.started"	"img_dice_3_4_5_6.started"	"text_value_header.started"	"text_value_1000.started"	"text_value_500.started"	"text_value_200.started"	"text_value_100.started"	"mouse_task.started"	"loss_sound.started"	"img_dice_throw_trials.started"	"img_dice_throw_trials.stopped"	"trial.stopped"	"mouse_task.x"	"mouse_task.y"	"mouse_task.leftButton"	"mouse_task.midButton"	"mouse_task.rightButton"	"mouse_task.time"	"choice"	"gain"	"gain_sound.started"	"gain_sound.stopped"	"End.started"	"text_end.started"	"key_end.started"	"End.stopped"	"key_end.keys"	"key_end.rt"	"key_end.duration"	"participant"	"session"	"date"	"expName"	"psychopyVersion"	"frameRate"	"expStart"	"...75"
NA	NA	NA	NA	NA	NA	NA	NA	0.0387111000018194	0.0505645000375807	0.0505645000375807	0.0390628000022843	54.9301039000275	"[0.7638888888888888]"	"[-0.37407407407407406]"	"[1]"	"[0]"	"[0]"	"[54.89036900002975]"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	26	"02"	"2024-02-16_15h45.57.003"	"GDT_exp"	"2023.2.3"	120.007968478017	"2024-02-16 15h46.23.807328 +0100"	NA
"dice_6.png"	6	0	0	0	5	55.0127359000035	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	54.9349985999288	55.0127359000035	55.0127359000035	55.0127359000035	55.0127359000035	55.0127359000035	55.0127359000035	55.0127359000035	55.0127359000035	55.0127359000035	55.0127359000035	55.0127359000035	55.0127359000035	55.0127359000035	55.0127359000035	55.0127359000035	55.0127359000035	55.0127359000035	55.0127359000035	55.0127359000035	55.0127359000035	55.0127359000035	55.0127359000035	55.0127359000035	55.0127359000035	55.0127359000035	0.0229431000771001	3.96617270004936	58.9630133999744	60.5464533999329	60.498971199966	"[-0.5537037037037037, -0.47962962962962963]"	"[-0.3472222222222222, -0.33611111111111114]"	"[1, 0]"	"[0, 0]"	"[0, 1]"	"[3.0199701000237837, 3.9118104999652132]"	4	-100	NA	NA	NA	NA	NA	NA	NA	NA	NA	26	"02"	"2024-02-16_15h45.57.003"	"GDT_exp"	"2023.2.3"	120.007968478017	"2024-02-16 15h46.23.807328 +0100"	NA
"dice_5.png"	5	0	1	1	4	60.5464533999329	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	60.4997758000391	60.5464533999329	60.5464533999329	60.5464533999329	60.5464533999329	60.5464533999329	60.5464533999329	60.5464533999329	60.5464533999329	60.5464533999329	60.5464533999329	60.5464533999329	60.5464533999329	60.5464533999329	60.5464533999329	60.5464533999329	60.5464533999329	60.5464533999329	60.5464533999329	60.5464533999329	60.5464533999329	60.5464533999329	60.5464533999329	60.5464533999329	60.5464533999329	60.5464533999329	0.0181996000465006	1.08022920007352	61.6465090999845	63.2299628999317	63.1825109999627	"[-0.5833333333333334, -0.45]"	"[-0.3509259259259259, -0.35185185185185186]"	"[1, 0]"	"[0, 0]"	"[0, 1]"	"[0.4951375999953598, 1.0618174000410363]"	4	-100	NA	NA	NA	NA	NA	NA	NA	NA	NA	26	"02"	"2024-02-16_15h45.57.003"	"GDT_exp"	"2023.2.3"	120.007968478017	"2024-02-16 15h46.23.807328 +0100"	NA
"dice_1.png"	1	0	2	2	0	63.2299628999317	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	63.1831521999557	63.2299628999317	63.2299628999317	63.2299628999317	63.2299628999317	63.2299628999317	63.2299628999317	63.2299628999317	63.2299628999317	63.2299628999317	63.2299628999317	63.2299628999317	63.2299628999317	63.2299628999317	63.2299628999317	63.2299628999317	63.2299628999317	63.2299628999317	63.2299628999317	63.2299628999317	63.2299628999317	63.2299628999317	63.2299628999317	63.2299628999317	63.2299628999317	63.2299628999317	0.0179502000100911	NA	65.1884305999847	66.7386629999382	66.6992748000193	"[-0.5657407407407408, -0.4546296296296296]"	"[-0.3527777777777778, -0.34074074074074073]"	"[1, 0]"	"[0, 0]"	"[0, 1]"	"[0.437157400068827, 1.9205745999934152]"	4	100	1.93881880003028	3.45562270004302	NA	NA	NA	NA	NA	NA	NA	26	"02"	"2024-02-16_15h45.57.003"	"GDT_exp"	"2023.2.3"	120.007968478017	"2024-02-16 15h46.23.807328 +0100"	NA
"dice_4.png"	4	0	3	3	3	66.7386629999382	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	66.6998109000269	66.7386629999382	66.7386629999382	66.7386629999382	66.7386629999382	66.7386629999382	66.7386629999382	66.7386629999382	66.7386629999382	66.7386629999382	66.7386629999382	66.7386629999382	66.7386629999382	66.7386629999382	66.7386629999382	66.7386629999382	66.7386629999382	66.7386629999382	66.7386629999382	66.7386629999382	66.7386629999382	66.7386629999382	66.7386629999382	66.7386629999382	66.7386629999382	66.7386629999382	0.0146394000621512	NA	70.1137995999306	71.6805707999738	71.6420760999899	"[-0.22407407407407406, -0.25277777777777777]"	"[-0.3592592592592593, -0.2712962962962963]"	"[1, 0]"	"[0, 0]"	"[0, 1]"	"[1.9992024999810383, 3.33258869999554]"	4	100	3.34756959998049	4.88107110001147	NA	NA	NA	NA	NA	NA	NA	26	"02"	"2024-02-16_15h45.57.003"	"GDT_exp"	"2023.2.3"	120.007968478017	"2024-02-16 15h46.23.807328 +0100"	NA
"dice_3.png"	3	0	4	4	2	71.6805707999738	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	71.6426090999739	71.6805707999738	71.6805707999738	71.6805707999738	71.6805707999738	71.6805707999738	71.6805707999738	71.6805707999738	71.6805707999738	71.6805707999738	71.6805707999738	71.6805707999738	71.6805707999738	71.6805707999738	71.6805707999738	71.6805707999738	71.6805707999738	71.6805707999738	71.6805707999738	71.6805707999738	71.6805707999738	71.6805707999738	71.6805707999738	71.6805707999738	71.6805707999738	71.6805707999738	0.0146913999924436	NA	73.6640226999298	75.2308285000036	75.1915346999886	"[-0.5601851851851852, -0.4324074074074074]"	"[-0.3592592592592593, -0.3277777777777778]"	"[1, 0]"	"[0, 0]"	"[0, 1]"	"[1.1065429999725893, 1.9315395000157878]"	4	100	1.94654719997197	3.45502969995141	NA	NA	NA	NA	NA	NA	NA	26	"02"	"2024-02-16_15h45.57.003"	"GDT_exp"	"2023.2.3"	120.007968478017	"2024-02-16 15h46.23.807328 +0100"	NA
"dice_2.png"	2	0	5	5	1	75.2308285000036	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	75.1920677999733	75.2308285000036	75.2308285000036	75.2308285000036	75.2308285000036	75.2308285000036	75.2308285000036	75.2308285000036	75.2308285000036	75.2308285000036	75.2308285000036	75.2308285000036	75.2308285000036	75.2308285000036	75.2308285000036	75.2308285000036	75.2308285000036	75.2308285000036	75.2308285000036	75.2308285000036	75.2308285000036	75.2308285000036	75.2308285000036	75.2308285000036	75.2308285000036	75.2308285000036	0.0153248000424355	2.07238080003299	77.3394399000099	78.8811119999737	78.8425030999351	"[-0.08703703703703704, -0.07222222222222222]"	"[-0.25555555555555554, -0.3416666666666667]"	"[1, 0]"	"[0, 0]"	"[0, 1]"	"[1.54840620001778, 2.0567682000109926]"	3	-200	NA	NA	NA	NA	NA	NA	NA	NA	NA	26	"02"	"2024-02-16_15h45.57.003"	"GDT_exp"	"2023.2.3"	120.007968478017	"2024-02-16 15h46.23.807328 +0100"	NA
"dice_1.png"	1	1	0	6	0	78.8811119999737	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	78.8430837999331	78.8811119999737	78.8811119999737	78.8811119999737	78.8811119999737	78.8811119999737	78.8811119999737	78.8811119999737	78.8811119999737	78.8811119999737	78.8811119999737	78.8811119999737	78.8811119999737	78.8811119999737	78.8811119999737	78.8811119999737	78.8811119999737	78.8811119999737	78.8811119999737	78.8811119999737	78.8811119999737	78.8811119999737	78.8811119999737	78.8811119999737	78.8811119999737	78.8811119999737	0.015523900045082	1.12153000000399	80.0396270999918	81.6145846999716	81.5670344999526	"[-0.07222222222222222, -0.06481481481481481]"	"[-0.2601851851851852, -0.32222222222222224]"	"[1, 0]"	"[0, 0]"	"[0, 1]"	"[0.347447199979797, 1.105619200039655]"	3	-200	NA	NA	NA	NA	NA	NA	NA	NA	NA	26	"02"	"2024-02-16_15h45.57.003"	"GDT_exp"	"2023.2.3"	120.007968478017	"2024-02-16 15h46.23.807328 +0100"	NA
"dice_5.png"	5	1	1	7	4	81.6145846999716	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	81.5676090000197	81.6145846999716	81.6145846999716	81.6145846999716	81.6145846999716	81.6145846999716	81.6145846999716	81.6145846999716	81.6145846999716	81.6145846999716	81.6145846999716	81.6145846999716	81.6145846999716	81.6145846999716	81.6145846999716	81.6145846999716	81.6145846999716	81.6145846999716	81.6145846999716	81.6145846999716	81.6145846999716	81.6145846999716	81.6145846999716	81.6145846999716	81.6145846999716	81.6145846999716	0.017924299929291	NA	83.0730206000153	84.6316017999779	84.5920518999919	"[0.032407407407407406, -0.07037037037037037]"	"[-0.35185185185185186, -0.337037037037037]"	"[1, 0]"	"[0, 0]"	"[0, 1]"	"[0.7707291999831796, 1.4124134000157937]"	4	100	1.43059779994655	2.96404029999394	NA	NA	NA	NA	NA	NA	NA	26	"02"	"2024-02-16_15h45.57.003"	"GDT_exp"	"2023.2.3"	120.007968478017	"2024-02-16 15h46.23.807328 +0100"	NA
"dice_2.png"	2	1	2	8	1	84.6316017999779	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	84.5925898000132	84.6316017999779	84.6316017999779	84.6316017999779	84.6316017999779	84.6316017999779	84.6316017999779	84.6316017999779	84.6316017999779	84.6316017999779	84.6316017999779	84.6316017999779	84.6316017999779	84.6316017999779	84.6316017999779	84.6316017999779	84.6316017999779	84.6316017999779	84.6316017999779	84.6316017999779	84.6316017999779	84.6316017999779	84.6316017999779	84.6316017999779	84.6316017999779	84.6316017999779	0.0145561000099406	1.88915870001074	86.5565939999651	88.1317311000312	88.0841275999555	"[-0.08425925925925926, -0.11296296296296296]"	"[-0.25925925925925924, -0.3416666666666667]"	"[1, 0]"	"[0, 0]"	"[0, 1]"	"[1.3576780000003055, 1.8745379999745637]"	3	-200	NA	NA	NA	NA	NA	NA	NA	NA	NA	26	"02"	"2024-02-16_15h45.57.003"	"GDT_exp"	"2023.2.3"	120.007968478017	"2024-02-16 15h46.23.807328 +0100"	NA
